N,Sample,DM,CP,Ash,aNDForm,ADICP,NDICP,SP,A2,B1,B2,C,A,B,kd,ERD6,Block,Column,Row,Position,Treatment,merged,Location,Year,Env,DM_201,CP_201,Ash_201,aNDForm_201,ADICP_201,NDICP_201,SP_201,A2_201,B1_201,B2_201,C_201,A_201,B_201,kd_201,ERD6_201,DM_202,CP_202,Ash_202,aNDForm_202,ADICP_202,NDICP_202,SP_202,A2_202,B1_202,B2_202,C_202,A_202,B_202,kd_202,ERD6_202
881,1 170532,93.476,17.513,7.478,33.911,1.126,1.736,9.951,55.885,34.231,3.527,6.332,11.364,82.271,0.052,51.255,11,5,2,10,1,OR_2020,OR,2020,OR_2020,93.562,17.803,7.399,40.033,1.219,1.993,8.715,50.002,38.618,3.929,7.149,13.991,78.994,0.053,50.885,93.702,19.098,7.708,35.234,1.119,1.743,9.529,49.434,40.788,3.318,5.863,14.294,79.863,0.055,52.616
882,10 467951,93.672,15.566,7.226,40.77,1.224,1.957,8.478,54.372,34.102,4.15,7.472,11.473,81.131,0.055,49.065,1,3,1,5,10,OR_2020,OR,2020,OR_2020,93.824,15.307,7.273,39.355,1.159,1.852,8.57,54.697,34.63,3.731,7.06,11.534,81.474,0.054,49.538,93.64,15.766,7.897,40.439,1.187,1.889,8.168,52.552,36.397,3.929,7.113,12.82,80.03,0.056,52.037
883,100 467936,93.745,19.301,8.261,38.594,1.212,1.942,9.652,49.576,39.918,3.868,6.43,14.273,79.397,0.046,48.941,4,2,1,3,100,OR_2020,OR,2020,OR_2020,93.566,16.733,7.643,42.973,1.282,1.998,8.491,50.331,37.849,3.72,7.328,14.542,78.201,0.045,48.799,93.363,17.36,7.403,41.137,1.202,1.851,8.466,49.8,39.155,3.557,6.86,15.033,78.141,0.044,47.666
884,101 467914,93.584,18.357,8.075,38.098,1.269,2.179,9.757,52.832,35.414,4.386,7.043,12.921,80.062,0.046,46.21,6,5,1,9,101,OR_2020,OR,2020,OR_2020,93.911,16.431,6.745,41.522,1.256,1.957,8.913,53.547,34.564,3.9,7.329,12.123,80.751,0.051,49.842,93.32,20.271,8.836,39.23,1.319,2.006,9.266,43.778,46.112,3.758,6.716,18.587,74.699,0.035,46.27
885,102 22328,92.737,20.496,8.042,37.645,1.322,2.238,10.072,48.502,39.595,4.392,6.976,15.191,77.904,0.039,44.829,4,6,1,11,102,OR_2020,OR,2020,OR_2020,93.566,16.733,7.643,42.973,1.282,1.998,8.491,50.331,37.849,3.72,7.328,14.542,78.201,0.045,48.799,93.363,17.36,7.403,41.137,1.202,1.851,8.466,49.8,39.155,3.557,6.86,15.033,78.141,0.044,47.666
886,103 26751,93.738,15.614,6.055,37.943,1.15,1.907,8.774,56.534,32.089,4.125,6.974,10.133,82.735,0.052,50.281,10,8,2,16,103,OR_2020,OR,2020,OR_2020,93.421,18.106,7.458,38.039,1.286,2.247,10.164,54.724,32.845,4.592,7.193,11.501,81.369,0.051,48.106,93.265,17.523,7.336,41.353,1.262,1.848,8.166,48.765,40.061,3.587,7.214,15.342,77.419,0.042,49.625
887,104 22287,93.257,18.602,7.882,42.426,1.326,2.139,9.033,47.745,40.831,4.305,7.371,15.834,76.893,0.044,46.693,3,9,1,17,104,OR_2020,OR,2020,OR_2020,94.205,15.199,7.135,42.098,1.19,1.766,7.808,51.657,37.129,3.61,7.317,12.446,80.139,0.055,51.17,93.618,16.95,8.385,41.015,1.292,2.041,8.671,50.627,37.62,4.037,7.294,13.987,78.712,0.046,46.852
888,105 26661,93.724,18.852,8.391,38.849,1.339,2.127,9.738,50.408,37.93,4.223,7.153,14.488,78.461,0.042,46.465,8,5,1,9,105,OR_2020,OR,2020,OR_2020,93.299,18.246,8.003,43.025,1.527,2.565,9.384,50.556,34.979,5.294,8.591,13.494,77.964,0.039,43.341,93.757,16.297,7.157,40.418,1.181,1.689,8.105,50.639,39.204,3.492,6.941,13.649,79.421,0.052,50.908
889,106 49878,93.856,17.687,7.46,37.493,1.196,1.93,9.283,52.846,35.979,3.922,6.756,12.058,81.214,0.05,50.314,10,6,2,12,106,OR_2020,OR,2020,OR_2020,93.421,18.106,7.458,38.039,1.286,2.247,10.164,54.724,32.845,4.592,7.193,11.501,81.369,0.051,48.106,93.265,17.523,7.336,41.353,1.262,1.848,8.166,48.765,40.061,3.587,7.214,15.342,77.419,0.042,49.625
890,107 22300,93.516,18.13,7.133,36.056,1.198,1.987,9.851,54.682,34.169,4.208,6.72,11.75,81.502,0.05,49.155,10,8,1,15,107,OR_2020,OR,2020,OR_2020,93.421,18.106,7.458,38.039,1.286,2.247,10.164,54.724,32.845,4.592,7.193,11.501,81.369,0.051,48.106,93.265,17.523,7.336,41.353,1.262,1.848,8.166,48.765,40.061,3.587,7.214,15.342,77.419,0.042,49.625
891,108 22339,93.565,17.398,7.86,39.327,1.319,2.261,9.155,52.369,35.271,4.697,7.548,13.605,78.814,0.048,48.346,4,1,1,1,108,OR_2020,OR,2020,OR_2020,93.566,16.733,7.643,42.973,1.282,1.998,8.491,50.331,37.849,3.72,7.328,14.542,78.201,0.045,48.799,93.363,17.36,7.403,41.137,1.202,1.851,8.466,49.8,39.155,3.557,6.86,15.033,78.141,0.044,47.666
892,109 alfagraz,93.705,18.219,7.974,40.361,1.329,2.124,8.921,48.159,40.287,4.298,7.364,15.814,76.939,0.042,48.815,6,4,2,8,109,OR_2020,OR,2020,OR_2020,93.911,16.431,6.745,41.522,1.256,1.957,8.913,53.547,34.564,3.9,7.329,12.123,80.751,0.051,49.842,93.32,20.271,8.836,39.23,1.319,2.006,9.266,43.778,46.112,3.758,6.716,18.587,74.699,0.035,46.27
893,11 467952,93.428,15.631,8.592,41.344,1.144,1.686,8.339,53.581,35.704,3.131,6.97,13.144,79.838,0.057,51.595,11,1,2,2,11,OR_2020,OR,2020,OR_2020,93.562,17.803,7.399,40.033,1.219,1.993,8.715,50.002,38.618,3.929,7.149,13.991,78.994,0.053,50.885,93.702,19.098,7.708,35.234,1.119,1.743,9.529,49.434,40.788,3.318,5.863,14.294,79.863,0.055,52.616
894,110 22333,93.682,16.735,7.558,40.5,1.348,2.155,8.12,49.297,38.53,4.821,7.963,14.441,77.667,0.055,50.772,3,5,2,10,110,OR_2020,OR,2020,OR_2020,94.205,15.199,7.135,42.098,1.19,1.766,7.808,51.657,37.129,3.61,7.317,12.446,80.139,0.055,51.17,93.618,16.95,8.385,41.015,1.292,2.041,8.671,50.627,37.62,4.037,7.294,13.987,78.712,0.046,46.852
895,111 AGATE,93.186,17.804,7.54,40.757,1.366,2.29,8.706,48.798,38.426,4.864,7.763,14.996,77.256,0.044,47.559,7,6,1,11,111,OR_2020,OR,2020,OR_2020,93.146,20.555,8.65,35.532,1.285,2.194,10.112,48.094,40.073,4.448,6.753,15.154,78.095,0.046,47.306,93.591,18.136,8.306,35.503,1.2,1.796,9.486,51.952,37.699,3.644,6.541,13.082,80.357,0.05,51.309
896,112 22304,93.54,17.302,7.559,39.741,1.104,1.772,8.179,49.937,40.061,3.251,6.425,15.306,78.27,0.048,51.144,4,7,2,14,112,OR_2020,OR,2020,OR_2020,93.566,16.733,7.643,42.973,1.282,1.998,8.491,50.331,37.849,3.72,7.328,14.542,78.201,0.045,48.799,93.363,17.36,7.403,41.137,1.202,1.851,8.466,49.8,39.155,3.557,6.86,15.033,78.141,0.044,47.666
897,113 22278,93.618,15.424,7.392,42.551,1.222,1.936,7.52,50.345,38.361,3.951,7.513,14.176,78.202,0.057,52.124,3,1,2,2,113,OR_2020,OR,2020,OR_2020,94.205,15.199,7.135,42.098,1.19,1.766,7.808,51.657,37.129,3.61,7.317,12.446,80.139,0.055,51.17,93.618,16.95,8.385,41.015,1.292,2.041,8.671,50.627,37.62,4.037,7.294,13.987,78.712,0.046,46.852
898,114 apollo,93.827,18.161,8.073,38.172,1.292,2.094,9.995,54.139,34.205,4.218,7.174,12.301,80.654,0.046,47.36,9,1,2,2,114,OR_2020,OR,2020,OR_2020,94.039,16.206,6.839,39.371,1.188,1.823,8.39,52.041,36.938,3.714,7.135,12.563,80.367,0.052,50.943,93.359,18.922,8.289,37.843,1.356,2.213,9.661,50.574,36.764,4.35,7.167,13.511,79.28,0.04,46.317
899,115 467908,93.158,17.497,7.495,36.693,1.235,1.978,9.509,53.736,34.981,4.124,6.947,12.19,80.912,0.048,48.616,4,6,2,12,115,OR_2020,OR,2020,OR_2020,93.566,16.733,7.643,42.973,1.282,1.998,8.491,50.331,37.849,3.72,7.328,14.542,78.201,0.045,48.799,93.363,17.36,7.403,41.137,1.202,1.851,8.466,49.8,39.155,3.557,6.86,15.033,78.141,0.044,47.666
