N,Sample,DM,CP,Ash,aNDForm,ADICP,NDICP,SP,A2,B1,B2,C,A,B,kd,ERD6,Block,Column,Row,Position,Treatment,merged,Location,Year,Env,DM_201,CP_201,Ash_201,aNDForm_201,ADICP_201,NDICP_201,SP_201,A2_201,B1_201,B2_201,C_201,A_201,B_201,kd_201,ERD6_201,DM_202,CP_202,Ash_202,aNDForm_202,ADICP_202,NDICP_202,SP_202,A2_202,B1_202,B2_202,C_202,A_202,B_202,kd_202,ERD6_202
900,116 467906,93.42,18.411,7.752,38.088,1.213,1.976,9.413,50.924,37.809,3.952,6.817,12.741,80.46,0.05,48.654,6,1,2,2,116,OR_2020,OR,2020,OR_2020,93.911,16.431,6.745,41.522,1.256,1.957,8.913,53.547,34.564,3.9,7.329,12.123,80.751,0.051,49.842,93.32,20.271,8.836,39.23,1.319,2.006,9.266,43.778,46.112,3.758,6.716,18.587,74.699,0.035,46.27
901,117 467905,93.425,18.374,8.1,38.452,1.202,1.963,8.634,47.613,41.333,3.98,6.857,15.443,77.874,0.047,49.243,7,5,2,10,117,OR_2020,OR,2020,OR_2020,93.146,20.555,8.65,35.532,1.285,2.194,10.112,48.094,40.073,4.448,6.753,15.154,78.095,0.046,47.306,93.591,18.136,8.306,35.503,1.2,1.796,9.486,51.952,37.699,3.644,6.541,13.082,80.357,0.05,51.309
902,118 467904,93.695,18.817,7.972,36.84,1.298,2.18,9.883,51.601,36.581,4.553,6.984,13.123,79.97,0.046,47.876,8,3,2,6,118,OR_2020,OR,2020,OR_2020,93.299,18.246,8.003,43.025,1.527,2.565,9.384,50.556,34.979,5.294,8.591,13.494,77.964,0.039,43.341,93.757,16.297,7.157,40.418,1.181,1.689,8.105,50.639,39.204,3.492,6.941,13.649,79.421,0.052,50.908
903,119 467925,93.243,18.159,7.065,40.413,1.286,2.11,9.002,49.765,38.61,4.278,7.231,14.44,78.381,0.046,47.822,5,2,2,4,119,OR_2020,OR,2020,OR_2020,93.242,17.245,6.806,39.252,1.238,2.051,8.976,52.231,36.236,4.086,7.01,13.308,79.704,0.046,48.92,93.409,18.889,6.997,35.355,1.171,1.914,10.283,54.029,35.218,3.898,6.261,11.351,82.355,0.053,50.358
904,12 499543,93.944,19.059,7.244,34.117,1.082,1.852,10.065,52.645,37.5,3.711,5.883,11.844,82.369,0.053,52.208,8,8,2,16,12,OR_2020,OR,2020,OR_2020,93.299,18.246,8.003,43.025,1.527,2.565,9.384,50.556,34.979,5.294,8.591,13.494,77.964,0.039,43.341,93.757,16.297,7.157,40.418,1.181,1.689,8.105,50.639,39.204,3.492,6.941,13.649,79.421,0.052,50.908
905,120 467924,93.634,15.422,6.455,36.72,1.12,1.767,8.94,57.729,31.439,3.798,6.788,9.675,83.401,0.054,49.788,9,5,2,10,120,OR_2020,OR,2020,OR_2020,94.039,16.206,6.839,39.371,1.188,1.823,8.39,52.041,36.938,3.714,7.135,12.563,80.367,0.052,50.943,93.359,18.922,8.289,37.843,1.356,2.213,9.661,50.574,36.764,4.35,7.167,13.511,79.28,0.04,46.317
906,121 467922,93.592,17.011,7.821,38.343,1.177,1.943,8.39,49.432,39.872,3.909,6.863,14.46,78.701,0.055,52.156,2,1,2,2,121,OR_2020,OR,2020,OR_2020,93.417,15.675,7.581,43.462,1.29,2.107,7.863,50.842,37.193,4.369,7.822,14.37,77.779,0.054,51.653,93.478,16.662,7.903,39.368,1.264,1.913,8.89,53.012,35.49,3.939,7.197,12.006,80.738,0.047,48.534
907,122 467918,92.911,18.122,7.191,41.362,1.413,2.385,8.537,47.396,39.192,5.057,7.923,15.893,76.405,0.039,47.474,5,7,2,14,122,OR_2020,OR,2020,OR_2020,93.242,17.245,6.806,39.252,1.238,2.051,8.976,52.231,36.236,4.086,7.01,13.308,79.704,0.046,48.92,93.409,18.889,6.997,35.355,1.171,1.914,10.283,54.029,35.218,3.898,6.261,11.351,82.355,0.053,50.358
908,123 467915,93.612,15.954,7.285,42.963,1.46,2.315,8.545,53.108,33.174,4.878,8.543,12.888,78.634,0.042,46.514,1,8,2,16,123,OR_2020,OR,2020,OR_2020,93.824,15.307,7.273,39.355,1.159,1.852,8.57,54.697,34.63,3.731,7.06,11.534,81.474,0.054,49.538,93.64,15.766,7.897,40.439,1.187,1.889,8.168,52.552,36.397,3.929,7.113,12.82,80.03,0.056,52.037
909,124 452483,94.002,17.415,8.121,38.514,1.117,1.542,9.264,52.859,38.275,2.745,6.215,13.096,80.729,0.056,51.821,11,10,1,19,124,OR_2020,OR,2020,OR_2020,93.562,17.803,7.399,40.033,1.219,1.993,8.715,50.002,38.618,3.929,7.149,13.991,78.994,0.053,50.885,93.702,19.098,7.708,35.234,1.119,1.743,9.529,49.434,40.788,3.318,5.863,14.294,79.863,0.055,52.616
910,125 452481,94.029,16.69,6.863,40.549,1.063,1.448,8.801,52.416,38.61,2.835,6.328,12.595,81.138,0.052,49.837,10,5,1,9,125,OR_2020,OR,2020,OR_2020,93.421,18.106,7.458,38.039,1.286,2.247,10.164,54.724,32.845,4.592,7.193,11.501,81.369,0.051,48.106,93.265,17.523,7.336,41.353,1.262,1.848,8.166,48.765,40.061,3.587,7.214,15.342,77.419,0.042,49.625
911,126 467938,93.643,17.482,6.741,40.532,1.262,1.94,9.247,52.989,35.706,4.063,7.203,11.96,80.983,0.046,46.667,4,9,1,17,126,OR_2020,OR,2020,OR_2020,93.566,16.733,7.643,42.973,1.282,1.998,8.491,50.331,37.849,3.72,7.328,14.542,78.201,0.045,48.799,93.363,17.36,7.403,41.137,1.202,1.851,8.466,49.8,39.155,3.557,6.86,15.033,78.141,0.044,47.666
912,127 467935,93.757,18.295,7.616,36.313,1.221,2.08,9.678,53.018,35.621,4.213,6.802,12.464,80.688,0.047,48.877,10,7,2,14,127,OR_2020,OR,2020,OR_2020,93.421,18.106,7.458,38.039,1.286,2.247,10.164,54.724,32.845,4.592,7.193,11.501,81.369,0.051,48.106,93.265,17.523,7.336,41.353,1.262,1.848,8.166,48.765,40.061,3.587,7.214,15.342,77.419,0.042,49.625
913,128 467932,93.444,17.486,7.735,36.333,1.072,1.724,9.651,54.464,35.652,3.338,6.019,11.978,82.008,0.056,49.104,9,9,1,17,128,OR_2020,OR,2020,OR_2020,94.039,16.206,6.839,39.371,1.188,1.823,8.39,52.041,36.938,3.714,7.135,12.563,80.367,0.052,50.943,93.359,18.922,8.289,37.843,1.356,2.213,9.661,50.574,36.764,4.35,7.167,13.511,79.28,0.04,46.317
914,129 467931,93.347,18.147,7.673,36.676,1.16,1.973,10.444,56.051,33.433,3.867,6.461,11.697,81.912,0.05,48.622,6,7,1,13,129,OR_2020,OR,2020,OR_2020,93.911,16.431,6.745,41.522,1.256,1.957,8.913,53.547,34.564,3.9,7.329,12.123,80.751,0.051,49.842,93.32,20.271,8.836,39.23,1.319,2.006,9.266,43.778,46.112,3.758,6.716,18.587,74.699,0.035,46.27
915,13 467953,93.46,16.181,7.562,39.215,1.181,1.901,8.597,53.414,35.55,3.919,7.104,12.238,80.576,0.056,50.32,4,4,1,7,13,OR_2020,OR,2020,OR_2020,93.566,16.733,7.643,42.973,1.282,1.998,8.491,50.331,37.849,3.72,7.328,14.542,78.201,0.045,48.799,93.363,17.36,7.403,41.137,1.202,1.851,8.466,49.8,39.155,3.557,6.86,15.033,78.141,0.044,47.666
916,130 467928,93.609,17.445,6.91,35.459,1.049,1.689,9.6,55.377,34.722,3.345,6.011,11.107,82.853,0.057,52.081,11,8,2,16,130,OR_2020,OR,2020,OR_2020,93.562,17.803,7.399,40.033,1.219,1.993,8.715,50.002,38.618,3.929,7.149,13.991,78.994,0.053,50.885,93.702,19.098,7.708,35.234,1.119,1.743,9.529,49.434,40.788,3.318,5.863,14.294,79.863,0.055,52.616
917,131 464739,93.319,15.448,6.821,42.558,1.328,2.208,7.998,52.442,34.438,4.668,7.998,13.244,78.751,0.046,48.516,4,8,1,15,131,OR_2020,OR,2020,OR_2020,93.566,16.733,7.643,42.973,1.282,1.998,8.491,50.331,37.849,3.72,7.328,14.542,78.201,0.045,48.799,93.363,17.36,7.403,41.137,1.202,1.851,8.466,49.8,39.155,3.557,6.86,15.033,78.141,0.044,47.666
918,132 452500,93.439,18.58,8.486,38.008,1.183,1.855,10.342,54.649,35.094,3.546,6.397,12.174,81.538,0.049,47.684,7,9,1,17,132,OR_2020,OR,2020,OR_2020,93.146,20.555,8.65,35.532,1.285,2.194,10.112,48.094,40.073,4.448,6.753,15.154,78.095,0.046,47.306,93.591,18.136,8.306,35.503,1.2,1.796,9.486,51.952,37.699,3.644,6.541,13.082,80.357,0.05,51.309
919,133 452499,93.331,18.388,7.808,39.868,1.207,1.946,9.054,49.053,40.306,3.767,6.711,15.673,77.751,0.048,49.326,3,4,1,7,133,OR_2020,OR,2020,OR_2020,94.205,15.199,7.135,42.098,1.19,1.766,7.808,51.657,37.129,3.61,7.317,12.446,80.139,0.055,51.17,93.618,16.95,8.385,41.015,1.292,2.041,8.671,50.627,37.62,4.037,7.294,13.987,78.712,0.046,46.852
920,134 452490,92.808,18.848,7.436,39.441,1.413,2.375,10.697,55.442,31.674,4.806,7.559,12.07,80.323,0.04,43.739,5,6,1,11,134,OR_2020,OR,2020,OR_2020,93.242,17.245,6.806,39.252,1.238,2.051,8.976,52.231,36.236,4.086,7.01,13.308,79.704,0.046,48.92,93.409,18.889,6.997,35.355,1.171,1.914,10.283,54.029,35.218,3.898,6.261,11.351,82.355,0.053,50.358
921,135 452480,93.67,18.785,8.717,37.985,1.251,2.05,9.956,51.137,37.628,4.092,6.836,13.877,79.412,0.048,48.339,8,7,1,13,135,OR_2020,OR,2020,OR_2020,93.299,18.246,8.003,43.025,1.527,2.565,9.384,50.556,34.979,5.294,8.591,13.494,77.964,0.039,43.341,93.757,16.297,7.157,40.418,1.181,1.689,8.105,50.639,39.204,3.492,6.941,13.649,79.421,0.052,50.908
922,136 467895,93.515,16.803,7.628,40.236,1.149,1.838,8.55,50.87,38.997,3.426,6.766,14.639,78.678,0.054,49.939,11,3,2,6,136,OR_2020,OR,2020,OR_2020,93.562,17.803,7.399,40.033,1.219,1.993,8.715,50.002,38.618,3.929,7.149,13.991,78.994,0.053,50.885,93.702,19.098,7.708,35.234,1.119,1.743,9.529,49.434,40.788,3.318,5.863,14.294,79.863,0.055,52.616
923,137 467894,93.127,17.603,7.405,40.21,1.277,2.036,8.793,49.791,38.508,4.261,7.227,14.895,78.086,0.045,48.905,5,8,1,15,137,OR_2020,OR,2020,OR_2020,93.242,17.245,6.806,39.252,1.238,2.051,8.976,52.231,36.236,4.086,7.01,13.308,79.704,0.046,48.92,93.409,18.889,6.997,35.355,1.171,1.914,10.283,54.029,35.218,3.898,6.261,11.351,82.355,0.053,50.358
924,138 467893,93.473,17.32,7.459,38.215,1.238,1.983,9.18,52.705,35.925,4.017,7.07,12.805,80.097,0.05,48.927,7,2,1,3,138,OR_2020,OR,2020,OR_2020,93.146,20.555,8.65,35.532,1.285,2.194,10.112,48.094,40.073,4.448,6.753,15.154,78.095,0.046,47.306,93.591,18.136,8.306,35.503,1.2,1.796,9.486,51.952,37.699,3.644,6.541,13.082,80.357,0.05,51.309
925,139 464740,93.361,17.401,7.753,44.206,1.531,2.573,8.917,49.623,36.061,5.483,8.75,13.753,77.699,0.041,43.131,3,1,1,1,139,OR_2020,OR,2020,OR_2020,94.205,15.199,7.135,42.098,1.19,1.766,7.808,51.657,37.129,3.61,7.317,12.446,80.139,0.055,51.17,93.618,16.95,8.385,41.015,1.292,2.041,8.671,50.627,37.62,4.037,7.294,13.987,78.712,0.046,46.852
926,14 467955,93.413,19.373,7.615,39.003,1.259,2.151,9.314,47.175,41.707,4.207,6.888,15.858,77.552,0.047,48.653,11,7,2,14,14,OR_2020,OR,2020,OR_2020,93.562,17.803,7.399,40.033,1.219,1.993,8.715,50.002,38.618,3.929,7.149,13.991,78.994,0.053,50.885,93.702,19.098,7.708,35.234,1.119,1.743,9.529,49.434,40.788,3.318,5.863,14.294,79.863,0.055,52.616
927,140 464793,93.795,15.483,7.232,43.826,1.262,2.051,6.422,44.956,42.849,4.404,7.891,16.534,75.801,0.056,53.276,6,3,2,6,140,OR_2020,OR,2020,OR_2020,93.911,16.431,6.745,41.522,1.256,1.957,8.913,53.547,34.564,3.9,7.329,12.123,80.751,0.051,49.842,93.32,20.271,8.836,39.23,1.319,2.006,9.266,43.778,46.112,3.758,6.716,18.587,74.699,0.035,46.27
928,141 464749,93.54,17.459,8.444,41.209,1.323,2.27,8.074,46.691,40.531,4.578,7.52,16.243,76.242,0.047,47.368,8,6,2,12,141,OR_2020,OR,2020,OR_2020,93.299,18.246,8.003,43.025,1.527,2.565,9.384,50.556,34.979,5.294,8.591,13.494,77.964,0.039,43.341,93.757,16.297,7.157,40.418,1.181,1.689,8.105,50.639,39.204,3.492,6.941,13.649,79.421,0.052,50.908
929,142 464773,93.494,18.366,7.996,43.416,1.303,2.024,9.475,50.2,38.586,3.879,7.15,14.589,78.586,0.04,44.482,7,5,1,9,142,OR_2020,OR,2020,OR_2020,93.146,20.555,8.65,35.532,1.285,2.194,10.112,48.094,40.073,4.448,6.753,15.154,78.095,0.046,47.306,93.591,18.136,8.306,35.503,1.2,1.796,9.486,51.952,37.699,3.644,6.541,13.082,80.357,0.05,51.309
930,143 467899,93.566,17.163,7.944,40.508,1.079,1.578,8.495,49.824,40.802,3.059,6.374,14.563,79.188,0.053,50.494,7,8,1,15,143,OR_2020,OR,2020,OR_2020,93.146,20.555,8.65,35.532,1.285,2.194,10.112,48.094,40.073,4.448,6.753,15.154,78.095,0.046,47.306,93.591,18.136,8.306,35.503,1.2,1.796,9.486,51.952,37.699,3.644,6.541,13.082,80.357,0.05,51.309
931,144 22277,93.414,18.639,8.052,41.183,1.233,1.944,8.155,44.08,45.34,3.847,6.937,17.659,75.525,0.046,48.288,3,6,1,11,144,OR_2020,OR,2020,OR_2020,94.205,15.199,7.135,42.098,1.19,1.766,7.808,51.657,37.129,3.61,7.317,12.446,80.139,0.055,51.17,93.618,16.95,8.385,41.015,1.292,2.041,8.671,50.627,37.62,4.037,7.294,13.987,78.712,0.046,46.852
932,145 26659,93.45,15.903,7.862,40.581,1.18,1.897,8.345,53.339,35.956,3.833,7.171,12.808,79.9,0.055,50.638,1,4,1,7,145,OR_2020,OR,2020,OR_2020,93.824,15.307,7.273,39.355,1.159,1.852,8.57,54.697,34.63,3.731,7.06,11.534,81.474,0.054,49.538,93.64,15.766,7.897,40.439,1.187,1.889,8.168,52.552,36.397,3.929,7.113,12.82,80.03,0.056,52.037
933,146 dove,93.599,17.386,7.473,41.048,1.365,2.092,9.058,51.545,36.027,4.388,7.676,13.287,79.04,0.042,47.49,6,6,1,11,146,OR_2020,OR,2020,OR_2020,93.911,16.431,6.745,41.522,1.256,1.957,8.913,53.547,34.564,3.9,7.329,12.123,80.751,0.051,49.842,93.32,20.271,8.836,39.23,1.319,2.006,9.266,43.778,46.112,3.758,6.716,18.587,74.699,0.035,46.27
934,147 roadrunn,93.617,19.03,8.125,35.482,1.19,1.924,9.715,50.604,38.651,3.941,6.41,13.728,79.895,0.049,49.444,10,4,2,8,147,OR_2020,OR,2020,OR_2020,93.421,18.106,7.458,38.039,1.286,2.247,10.164,54.724,32.845,4.592,7.193,11.501,81.369,0.051,48.106,93.265,17.523,7.336,41.353,1.262,1.848,8.166,48.765,40.061,3.587,7.214,15.342,77.419,0.042,49.625
935,148 REDFALCO,93.384,19.721,8.116,39.181,1.241,1.944,8.434,42.915,46.562,3.83,6.664,17.894,75.601,0.045,50.176,10,1,1,1,148,OR_2020,OR,2020,OR_2020,93.421,18.106,7.458,38.039,1.286,2.247,10.164,54.724,32.845,4.592,7.193,11.501,81.369,0.051,48.106,93.265,17.523,7.336,41.353,1.262,1.848,8.166,48.765,40.061,3.587,7.214,15.342,77.419,0.042,49.625
936,149 kingbird,93.474,18.787,7.762,37.503,1.159,1.883,9.638,50.961,38.977,3.633,6.316,14.257,79.514,0.052,50.181,7,1,1,1,149,OR_2020,OR,2020,OR_2020,93.146,20.555,8.65,35.532,1.285,2.194,10.112,48.094,40.073,4.448,6.753,15.154,78.095,0.046,47.306,93.591,18.136,8.306,35.503,1.2,1.796,9.486,51.952,37.699,3.644,6.541,13.082,80.357,0.05,51.309
937,15 467959,93.444,18.114,7.778,41.378,1.439,2.377,9.425,50.648,35.81,4.646,7.867,13.825,78.349,0.042,46.703,4,3,1,5,15,OR_2020,OR,2020,OR_2020,93.566,16.733,7.643,42.973,1.282,1.998,8.491,50.331,37.849,3.72,7.328,14.542,78.201,0.045,48.799,93.363,17.36,7.403,41.137,1.202,1.851,8.466,49.8,39.155,3.557,6.86,15.033,78.141,0.044,47.666
938,150 SKYLARK,93.617,17.784,7.421,38.261,1.114,1.759,9.359,52.918,37.123,3.398,6.283,12.655,81.163,0.049,50.039,6,8,1,15,150,OR_2020,OR,2020,OR_2020,93.911,16.431,6.745,41.522,1.256,1.957,8.913,53.547,34.564,3.9,7.329,12.123,80.751,0.051,49.842,93.32,20.271,8.836,39.23,1.319,2.006,9.266,43.778,46.112,3.758,6.716,18.587,74.699,0.035,46.27
939,151 RAVEN,93.777,17.128,7.849,36.412,1.131,1.795,9.075,52.627,36.85,3.659,6.564,12.591,80.925,0.054,51.407,7,4,2,8,151,OR_2020,OR,2020,OR_2020,93.146,20.555,8.65,35.532,1.285,2.194,10.112,48.094,40.073,4.448,6.753,15.154,78.095,0.046,47.306,93.591,18.136,8.306,35.503,1.2,1.796,9.486,51.952,37.699,3.644,6.541,13.082,80.357,0.05,51.309
940,152 goldfinc,94.024,17.326,7.423,37.544,1.105,1.8,9.393,53.997,36.072,3.632,6.317,11.725,81.923,0.056,49.977,7,3,2,6,152,OR_2020,OR,2020,OR_2020,93.146,20.555,8.65,35.532,1.285,2.194,10.112,48.094,40.073,4.448,6.753,15.154,78.095,0.046,47.306,93.591,18.136,8.306,35.503,1.2,1.796,9.486,51.952,37.699,3.644,6.541,13.082,80.357,0.05,51.309
941,153 wren,93.839,16.086,7.17,40.858,1.176,1.884,8.401,53.097,35.97,3.834,7.066,12.549,80.391,0.053,50.372,2,4,1,7,153,OR_2020,OR,2020,OR_2020,93.417,15.675,7.581,43.462,1.29,2.107,7.863,50.842,37.193,4.369,7.822,14.37,77.779,0.054,51.653,93.478,16.662,7.903,39.368,1.264,1.913,8.89,53.012,35.49,3.939,7.197,12.006,80.738,0.047,48.534
942,154 BLUEJAYH,93.569,18.636,6.963,39.003,1.152,1.802,8.744,47.311,42.751,3.594,6.439,15.475,78.214,0.05,50.018,5,2,1,3,154,OR_2020,OR,2020,OR_2020,93.242,17.245,6.806,39.252,1.238,2.051,8.976,52.231,36.236,4.086,7.01,13.308,79.704,0.046,48.92,93.409,18.889,6.997,35.355,1.171,1.914,10.283,54.029,35.218,3.898,6.261,11.351,82.355,0.053,50.358
