N,Sample,DM,CP,Ash,aNDForm,ADICP,NDICP,SP,A2,B1,B2,C,A,B,kd,ERD6,Block,Column,Row,Position,Treatment,merged,Location,Year,Env,DM_201,CP_201,Ash_201,aNDForm_201,ADICP_201,NDICP_201,SP_201,A2_201,B1_201,B2_201,C_201,A_201,B_201,kd_201,ERD6_201,DM_202,CP_202,Ash_202,aNDForm_202,ADICP_202,NDICP_202,SP_202,A2_202,B1_202,B2_202,C_202,A_202,B_202,kd_202,ERD6_202
1303,15541,94.268,17.947,6.557,26.715,0.819,1.159,10.755,60.691,31.603,2.497,4.879,5.856,89.157,0.054,47.669,9,3,1,9,4,WA_2021,WA,2021,WA_2021,94.647,17.215,6.599,27.165,0.831,1.305,10.424,59.545,31.858,2.917,5.122,5.716,89.012,0.053,47.517,94.639,17.968,6.587,27.184,0.834,1.34,10.801,59.748,32.438,2.954,4.667,6.969,88.229,0.05,49.379
1304,15542,94.053,18.037,8.107,33.509,0.83,1.266,7.578,45.091,47.753,2.358,4.884,15.494,79.61,0.059,54.034,5,3,3,11,172,WA_2021,WA,2021,WA_2021,94.501,18.286,7.248,30.974,0.847,1.162,10.388,57.085,35.493,2.146,4.879,7.711,87.447,0.058,50.112,94.829,18.082,7.153,28.978,0.919,1.326,10.392,57.328,34.178,2.95,5.327,7.085,87.494,0.053,48.537
1305,15543,94.777,16.224,6.537,25.282,0.781,1.257,9.272,57.92,33.754,2.883,5.112,6.616,87.977,0.058,51.01,11,2,3,7,83,WA_2021,WA,2021,WA_2021,94.261,17.791,6.871,28.597,0.864,1.292,10.448,58.588,33.422,2.621,4.9,7.429,87.577,0.053,48.65,94.575,20.155,7.062,29.18,0.824,1.284,11.367,57.813,34.98,2.307,4.17,7.824,87.905,0.056,49.601
1307,15545,94.704,16.758,7.314,31.831,0.818,1.124,9.213,56.059,36.719,1.986,4.941,8.781,86.165,0.062,52.293,2,5,2,18,52,WA_2021,WA,2021,WA_2021,94.211,20.131,8.116,29.963,0.809,1.316,10.475,53.238,40.235,2.216,4.131,11.304,84.607,0.061,53.609,94.497,18.358,7.282,29.061,0.779,1.277,10.819,59.728,33.203,2.175,4.397,7.224,88.294,0.059,50.562
1308,15546,94.755,16.892,7.145,32.063,0.856,1.234,9.559,57.158,34.42,2.434,5.154,7.866,86.935,0.059,50.766,11,3,4,12,160,WA_2021,WA,2021,WA_2021,94.261,17.791,6.871,28.597,0.864,1.292,10.448,58.588,33.422,2.621,4.9,7.429,87.577,0.053,48.65,94.575,20.155,7.062,29.18,0.824,1.284,11.367,57.813,34.98,2.307,4.17,7.824,87.905,0.056,49.601
1310,15548,94.462,16.002,7.407,32.142,0.774,1.179,9.24,58.725,33.67,2.156,5.099,7.228,87.707,0.067,52.977,2,5,1,17,6,WA_2021,WA,2021,WA_2021,94.211,20.131,8.116,29.963,0.809,1.316,10.475,53.238,40.235,2.216,4.131,11.304,84.607,0.061,53.609,94.497,18.358,7.282,29.061,0.779,1.277,10.819,59.728,33.203,2.175,4.397,7.224,88.294,0.059,50.562
1314,15552,94.412,17.244,7.471,32.613,0.85,1.111,8.323,50.68,42.235,2.256,5.121,11.064,83.778,0.063,53.444,6,1,3,3,19,WA_2021,WA,2021,WA_2021,94.545,16.336,6.496,29.365,0.815,1.319,9.841,59.995,31.847,2.858,5.147,6.489,88.398,0.056,48.447,94.472,22.669,8.466,27.523,0.824,1.21,12.745,56.492,38.046,1.88,3.487,8.653,87.923,0.058,49.958
1318,15556,94.348,18.414,7.28,28.672,0.803,1.243,10.361,57.184,35.488,2.316,4.479,8.662,86.712,0.057,51.52,11,4,2,14,157,WA_2021,WA,2021,WA_2021,94.261,17.791,6.871,28.597,0.864,1.292,10.448,58.588,33.422,2.621,4.9,7.429,87.577,0.053,48.65,94.575,20.155,7.062,29.18,0.824,1.284,11.367,57.813,34.98,2.307,4.17,7.824,87.905,0.056,49.601
1321,15559,94.497,18.358,7.282,29.061,0.779,1.277,10.819,59.728,33.203,2.175,4.397,7.224,88.294,0.059,50.562,2,2,1,5,202,WA_2021,WA,2021,WA_2021,94.211,20.131,8.116,29.963,0.809,1.316,10.475,53.238,40.235,2.216,4.131,11.304,84.607,0.061,53.609,94.497,18.358,7.282,29.061,0.779,1.277,10.819,59.728,33.203,2.175,4.397,7.224,88.294,0.059,50.562
1322,15560,94.868,15.071,6.482,29.643,0.845,1.229,8.486,56.905,34.105,2.794,5.636,7.541,86.676,0.055,49.961,11,4,3,15,62,WA_2021,WA,2021,WA_2021,94.261,17.791,6.871,28.597,0.864,1.292,10.448,58.588,33.422,2.621,4.9,7.429,87.577,0.053,48.65,94.575,20.155,7.062,29.18,0.824,1.284,11.367,57.813,34.98,2.307,4.17,7.824,87.905,0.056,49.601
1323,15561,94.99,15.831,5.624,27.277,0.856,1.353,9.449,59.841,31.001,3.379,5.628,5.733,88.486,0.053,49.262,9,2,2,6,16,WA_2021,WA,2021,WA_2021,94.647,17.215,6.599,27.165,0.831,1.305,10.424,59.545,31.858,2.917,5.122,5.716,89.012,0.053,47.517,94.639,17.968,6.587,27.184,0.834,1.34,10.801,59.748,32.438,2.954,4.667,6.969,88.229,0.05,49.379
1324,15562,94.453,19.654,6.571,27.993,0.835,1.323,11.073,57.645,35.182,2.484,4.498,7.583,87.832,0.058,49.723,4,2,4,8,56,WA_2021,WA,2021,WA_2021,94.768,16.882,6.771,31.234,0.802,1.328,10.199,60.293,31.497,2.599,4.976,6.267,88.82,0.059,49.773,94.258,20.327,8.066,29.011,0.802,1.272,10.674,52.978,40.639,2.199,4.015,11.796,84.289,0.057,51.221
1329,15567,94.341,18.176,7.801,28.316,0.834,1.169,11.047,60.365,32.467,2.132,4.718,6.664,88.657,0.055,47.934,10,3,4,12,142,WA_2021,WA,2021,WA_2021,94.884,17.226,6.054,28.854,0.835,1.311,9.653,57.041,34.363,2.907,5.187,6.899,87.877,0.055,49.133,94.489,18.331,7.684,29.345,0.864,1.262,10.757,58.453,33.942,2.407,4.777,8.008,87.092,0.051,47.072
1330,15568,94.374,19.306,7.668,29.328,0.84,1.177,11.095,57.765,35.641,1.945,4.45,8.466,87.131,0.056,49.28,6,3,4,12,79,WA_2021,WA,2021,WA_2021,94.545,16.336,6.496,29.365,0.815,1.319,9.841,59.995,31.847,2.858,5.147,6.489,88.398,0.056,48.447,94.472,22.669,8.466,27.523,0.824,1.21,12.745,56.492,38.046,1.88,3.487,8.653,87.923,0.058,49.958
1333,15571,94.226,19.838,7.863,29.097,0.854,1.197,11.56,58.408,35.034,2.135,4.343,8.083,87.494,0.055,49.319,10,3,1,9,178,WA_2021,WA,2021,WA_2021,94.884,17.226,6.054,28.854,0.835,1.311,9.653,57.041,34.363,2.907,5.187,6.899,87.877,0.055,49.133,94.489,18.331,7.684,29.345,0.864,1.262,10.757,58.453,33.942,2.407,4.777,8.008,87.092,0.051,47.072
1334,15572,94.433,19.62,6.618,25.381,0.827,1.229,11.879,61.573,31.057,2.208,4.387,5.835,89.475,0.054,49.809,11,4,4,16,81,WA_2021,WA,2021,WA_2021,94.261,17.791,6.871,28.597,0.864,1.292,10.448,58.588,33.422,2.621,4.9,7.429,87.577,0.053,48.65,94.575,20.155,7.062,29.18,0.824,1.284,11.367,57.813,34.98,2.307,4.17,7.824,87.905,0.056,49.601
1335,15573,94.662,16.935,6.883,28.101,0.884,1.336,9.859,58.3,33.173,2.999,5.533,6.803,87.566,0.057,49.202,5,5,2,18,87,WA_2021,WA,2021,WA_2021,94.501,18.286,7.248,30.974,0.847,1.162,10.388,57.085,35.493,2.146,4.879,7.711,87.447,0.058,50.112,94.829,18.082,7.153,28.978,0.919,1.326,10.392,57.328,34.178,2.95,5.327,7.085,87.494,0.053,48.537
1336,15574,93.986,19.36,8.3,26.741,0.798,1.153,10.989,57.64,35.952,2.03,4.233,8.503,87.121,0.061,50.997,2,4,4,16,156,WA_2021,WA,2021,WA_2021,94.211,20.131,8.116,29.963,0.809,1.316,10.475,53.238,40.235,2.216,4.131,11.304,84.607,0.061,53.609,94.497,18.358,7.282,29.061,0.779,1.277,10.819,59.728,33.203,2.175,4.397,7.224,88.294,0.059,50.562
