N,Sample,DM,CP,Ash,aNDForm,ADICP,NDICP,SP,A2,B1,B2,C,A,B,kd,ERD6,Block,Column,Row,Position,Treatment,merged,Location,Year,Env,DM_201,CP_201,Ash_201,aNDForm_201,ADICP_201,NDICP_201,SP_201,A2_201,B1_201,B2_201,C_201,A_201,B_201,kd_201,ERD6_201,DM_202,CP_202,Ash_202,aNDForm_202,ADICP_202,NDICP_202,SP_202,A2_202,B1_202,B2_202,C_202,A_202,B_202,kd_202,ERD6_202
1218,15456,94.055,19.378,7.945,35.787,1.052,1.568,9.741,49.98,41.351,2.936,5.391,14.135,80.726,0.055,52.02,10,5,1,9,125,OR_2021,OR,2021,OR_2021,93.982,18.618,7.419,37.014,1.095,1.642,9.905,52.895,37.157,3.167,5.947,11.527,82.727,0.055,50.987,94.026,19.622,8.827,33.583,0.993,1.489,9.636,49.357,42.317,2.72,5.068,13.833,81.096,0.058,53.297
1220,15458,93.901,18.964,7.967,34.783,1.052,1.499,10.264,53.515,37.968,2.834,5.447,12.016,82.571,0.052,50.755,11,7,2,14,14,OR_2021,OR,2021,OR_2021,93.557,18.345,8.071,37.284,1.168,1.818,8.655,48.694,41.021,3.794,6.47,14.122,79.364,0.054,52.659,93.625,19.925,8.875,34.645,1.096,1.663,10.138,50.863,40.095,3.155,5.435,14.31,80.296,0.047,50.821
1221,15459,93.937,16.643,7.072,35.645,1.089,1.682,9.295,55.309,34.58,3.723,6.277,10.082,83.693,0.064,53.832,11,1,2,2,11,OR_2021,OR,2021,OR_2021,93.557,18.345,8.071,37.284,1.168,1.818,8.655,48.694,41.021,3.794,6.47,14.122,79.364,0.054,52.659,93.625,19.925,8.875,34.645,1.096,1.663,10.138,50.863,40.095,3.155,5.435,14.31,80.296,0.047,50.821
1222,15460,93.935,17.461,7.237,34.447,1.054,1.574,9.6,55.223,35.405,3.291,5.927,10.481,83.523,0.058,52.959,10,7,1,13,89,OR_2021,OR,2021,OR_2021,93.982,18.618,7.419,37.014,1.095,1.642,9.905,52.895,37.157,3.167,5.947,11.527,82.727,0.055,50.987,94.026,19.622,8.827,33.583,0.993,1.489,9.636,49.357,42.317,2.72,5.068,13.833,81.096,0.058,53.297
1223,15461,93.843,20.584,9.189,32.993,1.005,1.63,10.002,48.663,42.927,2.869,5.035,14.854,80.159,0.052,50.785,11,5,1,9,53,OR_2021,OR,2021,OR_2021,93.557,18.345,8.071,37.284,1.168,1.818,8.655,48.694,41.021,3.794,6.47,14.122,79.364,0.054,52.659,93.625,19.925,8.875,34.645,1.096,1.663,10.138,50.863,40.095,3.155,5.435,14.31,80.296,0.047,50.821
1230,15468,94.029,16.919,7.011,39.086,1.008,1.45,8.349,51.563,39.074,2.792,6.031,12.447,81.595,0.06,54.659,8,9,1,17,56,OR_2021,OR,2021,OR_2021,94.169,19.19,8.075,36.109,1.126,1.82,10.043,51.932,37.58,3.543,6.157,12.408,81.572,0.05,49.287,94.022,18.643,8.663,34.587,1.102,1.586,10.352,54.838,36.1,3.049,5.638,11.546,82.861,0.056,52.876
1231,15469,94.013,18.475,8.796,33.009,1.039,1.641,10.247,54.8,35.984,3.223,5.543,10.89,83.475,0.062,52.138,5,4,2,8,202,OR_2021,OR,2021,OR_2021,93.578,19.135,8.274,39.5,1.283,1.942,8.807,45.328,43.128,3.915,6.893,17.1,76.308,0.038,46.75,94.013,18.475,8.796,33.009,1.039,1.641,10.247,54.8,35.984,3.223,5.543,10.89,83.475,0.062,52.138
1232,15470,94.173,16.602,8.549,37.962,1.137,1.636,8.254,50.126,39.831,3.558,6.544,13.86,79.657,0.052,51.129,1,7,2,14,81,OR_2021,OR,2021,OR_2021,94.035,18.291,8.791,38.276,1.168,1.813,9.21,49.273,40.181,3.648,6.371,13.828,80.025,0.054,50.038,94.237,15.227,8.047,39.093,1.017,1.498,8.122,54.014,36.382,3.063,6.351,11.778,81.808,0.066,54.221
1233,15471,93.649,18.996,7.988,37.122,1.027,1.629,8.475,45.768,45.416,2.998,5.508,16.667,77.875,0.056,54.071,10,1,1,1,148,OR_2021,OR,2021,OR_2021,93.982,18.618,7.419,37.014,1.095,1.642,9.905,52.895,37.157,3.167,5.947,11.527,82.727,0.055,50.987,94.026,19.622,8.827,33.583,0.993,1.489,9.636,49.357,42.317,2.72,5.068,13.833,81.096,0.058,53.297
1237,15475,93.671,19.102,7.913,35.078,1.167,1.76,10.144,53.036,36.784,3.576,6.068,12.28,81.688,0.051,50.954,11,10,2,20,35,OR_2021,OR,2021,OR_2021,93.557,18.345,8.071,37.284,1.168,1.818,8.655,48.694,41.021,3.794,6.47,14.122,79.364,0.054,52.659,93.625,19.925,8.875,34.645,1.096,1.663,10.138,50.863,40.095,3.155,5.435,14.31,80.296,0.047,50.821
1239,15477,93.625,19.925,8.875,34.645,1.096,1.663,10.138,50.863,40.095,3.155,5.435,14.31,80.296,0.047,50.821,11,9,2,18,202,OR_2021,OR,2021,OR_2021,93.557,18.345,8.071,37.284,1.168,1.818,8.655,48.694,41.021,3.794,6.47,14.122,79.364,0.054,52.659,93.625,19.925,8.875,34.645,1.096,1.663,10.138,50.863,40.095,3.155,5.435,14.31,80.296,0.047,50.821
1240,15478,93.768,19.596,8.247,34.725,1.167,1.856,9.96,50.262,39.586,3.673,5.978,13.89,80.124,0.054,51.707,4,1,1,1,108,OR_2021,OR,2021,OR_2021,94.113,17.074,7.923,40.579,1.174,1.725,8.689,50.439,38.776,3.567,6.707,13.2,80.236,0.052,49.645,94.005,19.063,8.002,37.205,1.103,1.587,9.442,49.902,40.613,3.009,5.633,14.468,79.875,0.043,48.606
1242,15480,93.992,17.207,8.065,39.145,1.121,1.687,7.951,47.313,42.494,3.506,6.407,15.169,78.54,0.055,51.723,4,1,2,2,197,OR_2021,OR,2021,OR_2021,94.113,17.074,7.923,40.579,1.174,1.725,8.689,50.439,38.776,3.567,6.707,13.2,80.236,0.052,49.645,94.005,19.063,8.002,37.205,1.103,1.587,9.442,49.902,40.613,3.009,5.633,14.468,79.875,0.043,48.606
1243,15481,93.872,21.062,8.519,36.179,1.091,1.752,10.218,48.216,42.721,3.197,5.312,15.695,79.181,0.04,47.841,11,3,1,5,180,OR_2021,OR,2021,OR_2021,93.557,18.345,8.071,37.284,1.168,1.818,8.655,48.694,41.021,3.794,6.47,14.122,79.364,0.054,52.659,93.625,19.925,8.875,34.645,1.096,1.663,10.138,50.863,40.095,3.155,5.435,14.31,80.296,0.047,50.821
1248,15486,93.507,20.266,9.422,35.336,1.092,1.65,10.18,49.287,41.75,2.959,5.533,14.746,79.84,0.046,47.539,6,6,1,11,146,OR_2021,OR,2021,OR_2021,94.023,18.595,7.821,38.226,1.094,1.726,9.374,50.558,39.464,3.33,5.948,13.19,81.115,0.049,48.649,93.778,17.433,9.247,33.998,1.026,1.573,9.013,51.535,39.241,3.249,5.589,13.2,81.273,0.066,54.727
1249,15487,93.926,18.118,8.017,35.271,1.034,1.512,9.514,52.95,38.259,2.857,5.481,12.844,81.646,0.055,52.335,9,2,2,4,164,OR_2021,OR,2021,OR_2021,93.673,18.521,8.671,35.688,1.184,1.853,10.041,53.29,36.025,3.774,6.362,11.772,82.009,0.053,50.122,93.738,20.185,8.754,36.465,1.091,1.612,8.579,41.833,49.77,2.876,5.413,19.428,75.205,0.044,49.984
1252,15490,94.07,19.102,7.988,36.85,0.995,1.483,8.666,45.939,45.774,2.785,5.292,15.564,79.168,0.055,52.847,10,3,1,5,93,OR_2021,OR,2021,OR_2021,93.982,18.618,7.419,37.014,1.095,1.642,9.905,52.895,37.157,3.167,5.947,11.527,82.727,0.055,50.987,94.026,19.622,8.827,33.583,0.993,1.489,9.636,49.357,42.317,2.72,5.068,13.833,81.096,0.058,53.297
1253,15491,93.499,18.732,8.417,34.669,1.157,1.834,9.567,50.971,38.708,3.856,6.172,13.145,80.689,0.054,51.371,1,10,1,19,18,OR_2021,OR,2021,OR_2021,94.035,18.291,8.791,38.276,1.168,1.813,9.21,49.273,40.181,3.648,6.371,13.828,80.025,0.054,50.038,94.237,15.227,8.047,39.093,1.017,1.498,8.122,54.014,36.382,3.063,6.351,11.778,81.808,0.066,54.221
1254,15492,93.872,18.514,9.03,37.412,1.014,1.472,9.165,50.257,40.981,2.567,5.491,14.461,80.051,0.056,51.04,6,8,2,16,155,OR_2021,OR,2021,OR_2021,94.023,18.595,7.821,38.226,1.094,1.726,9.374,50.558,39.464,3.33,5.948,13.19,81.115,0.049,48.649,93.778,17.433,9.247,33.998,1.026,1.573,9.013,51.535,39.241,3.249,5.589,13.2,81.273,0.066,54.727
1257,15495,93.673,18.521,8.671,35.688,1.184,1.853,10.041,53.29,36.025,3.774,6.362,11.772,82.009,0.053,50.122,9,8,2,16,201,OR_2021,OR,2021,OR_2021,93.673,18.521,8.671,35.688,1.184,1.853,10.041,53.29,36.025,3.774,6.362,11.772,82.009,0.053,50.122,93.738,20.185,8.754,36.465,1.091,1.612,8.579,41.833,49.77,2.876,5.413,19.428,75.205,0.044,49.984
1258,15496,94.043,17.41,7.396,36.711,1.059,1.709,9.458,55.069,35.077,3.464,6.056,10.792,83.19,0.055,51.955,6,5,1,9,101,OR_2021,OR,2021,OR_2021,94.023,18.595,7.821,38.226,1.094,1.726,9.374,50.558,39.464,3.33,5.948,13.19,81.115,0.049,48.649,93.778,17.433,9.247,33.998,1.026,1.573,9.013,51.535,39.241,3.249,5.589,13.2,81.273,0.066,54.727
1259,15497,93.97,19.274,9.123,35.624,1.086,1.617,10.661,54.381,36.85,2.782,5.549,12.49,81.991,0.05,49.897,8,7,2,14,162,OR_2021,OR,2021,OR_2021,94.169,19.19,8.075,36.109,1.126,1.82,10.043,51.932,37.58,3.543,6.157,12.408,81.572,0.05,49.287,94.022,18.643,8.663,34.587,1.102,1.586,10.352,54.838,36.1,3.049,5.638,11.546,82.861,0.056,52.876
1260,15498,93.669,18.415,7.299,37.201,1.185,1.846,9.594,52.034,37.492,3.776,6.536,12.548,81.175,0.055,52.759,9,10,1,19,52,OR_2021,OR,2021,OR_2021,93.673,18.521,8.671,35.688,1.184,1.853,10.041,53.29,36.025,3.774,6.362,11.772,82.009,0.053,50.122,93.738,20.185,8.754,36.465,1.091,1.612,8.579,41.833,49.77,2.876,5.413,19.428,75.205,0.044,49.984
1261,15499,94.231,15.877,8.358,40.193,1.139,1.633,8.214,52.713,37.04,3.119,6.751,12.433,80.958,0.059,53.185,8,6,2,12,141,OR_2021,OR,2021,OR_2021,94.169,19.19,8.075,36.109,1.126,1.82,10.043,51.932,37.58,3.543,6.157,12.408,81.572,0.05,49.287,94.022,18.643,8.663,34.587,1.102,1.586,10.352,54.838,36.1,3.049,5.638,11.546,82.861,0.056,52.876
1263,15501,93.967,16.902,8.476,36.336,1.103,1.699,9.263,54.274,35.646,3.408,6.287,11.219,82.496,0.064,54.99,3,10,2,20,201,OR_2021,OR,2021,OR_2021,93.967,16.902,8.476,36.336,1.103,1.699,9.263,54.274,35.646,3.408,6.287,11.219,82.496,0.064,54.99,94.118,17.848,7.197,39.327,1.201,1.807,9,50.416,38.898,3.717,6.523,13.333,80.175,0.047,50.769
1264,15502,93.977,20.08,8.551,34.271,1.087,1.699,10.603,52.035,38.772,3.218,5.537,12.218,82.312,0.048,48.491,6,8,1,15,150,OR_2021,OR,2021,OR_2021,94.023,18.595,7.821,38.226,1.094,1.726,9.374,50.558,39.464,3.33,5.948,13.19,81.115,0.049,48.649,93.778,17.433,9.247,33.998,1.026,1.573,9.013,51.535,39.241,3.249,5.589,13.2,81.273,0.066,54.727
1265,15503,93.64,21.056,8.881,36.718,1.291,2.039,9.359,43.187,45.758,4.111,6.576,17.604,76.119,0.048,51.141,8,8,1,15,57,OR_2021,OR,2021,OR_2021,94.169,19.19,8.075,36.109,1.126,1.82,10.043,51.932,37.58,3.543,6.157,12.408,81.572,0.05,49.287,94.022,18.643,8.663,34.587,1.102,1.586,10.352,54.838,36.1,3.049,5.638,11.546,82.861,0.056,52.876
1266,15504,94.072,18.484,7.75,34.926,1.068,1.713,10.237,54.646,35.547,3.622,5.767,10.539,83.783,0.059,51.679,5,5,2,10,50,OR_2021,OR,2021,OR_2021,93.578,19.135,8.274,39.5,1.283,1.942,8.807,45.328,43.128,3.915,6.893,17.1,76.308,0.038,46.75,94.013,18.475,8.796,33.009,1.039,1.641,10.247,54.8,35.984,3.223,5.543,10.89,83.475,0.062,52.138
1267,15505,93.557,18.345,8.071,37.284,1.168,1.818,8.655,48.694,41.021,3.794,6.47,14.122,79.364,0.054,52.659,11,2,1,3,201,OR_2021,OR,2021,OR_2021,93.557,18.345,8.071,37.284,1.168,1.818,8.655,48.694,41.021,3.794,6.47,14.122,79.364,0.054,52.659,93.625,19.925,8.875,34.645,1.096,1.663,10.138,50.863,40.095,3.155,5.435,14.31,80.296,0.047,50.821
1270,15508,93.673,18.785,7.587,35.356,1.042,1.6,9.392,50.763,40.244,3.179,5.605,13.478,81.009,0.055,52.051,7,2,1,3,138,OR_2021,OR,2021,OR_2021,94.396,14.927,7.293,38.095,1.078,1.584,8.102,53.788,35.658,3.375,6.628,10.702,82.545,0.062,53.62,93.642,20.723,9.845,34.8,1.092,1.666,9.617,45.289,45.749,2.984,5.475,16.285,78.309,0.055,52.229
1272,15510,93.531,18.693,8.739,34.814,1.09,1.674,10.338,54.905,36.04,3.116,5.863,11.99,82.082,0.053,50.562,6,9,1,17,98,OR_2021,OR,2021,OR_2021,94.023,18.595,7.821,38.226,1.094,1.726,9.374,50.558,39.464,3.33,5.948,13.19,81.115,0.049,48.649,93.778,17.433,9.247,33.998,1.026,1.573,9.013,51.535,39.241,3.249,5.589,13.2,81.273,0.066,54.727
1273,15511,93.84,20.763,9.292,34.466,1.057,1.592,9.169,43.236,48.45,2.866,5.245,18.054,76.73,0.053,52.724,8,5,1,9,105,OR_2021,OR,2021,OR_2021,94.169,19.19,8.075,36.109,1.126,1.82,10.043,51.932,37.58,3.543,6.157,12.408,81.572,0.05,49.287,94.022,18.643,8.663,34.587,1.102,1.586,10.352,54.838,36.1,3.049,5.638,11.546,82.861,0.056,52.876
1274,15512,93.79,17.283,7.883,40.566,1.2,1.765,8.78,50.56,38.5,3.647,6.834,13.593,79.748,0.054,50.302,6,1,2,2,116,OR_2021,OR,2021,OR_2021,94.023,18.595,7.821,38.226,1.094,1.726,9.374,50.558,39.464,3.33,5.948,13.19,81.115,0.049,48.649,93.778,17.433,9.247,33.998,1.026,1.573,9.013,51.535,39.241,3.249,5.589,13.2,81.273,0.066,54.727
1276,15514,93.862,18.717,8.116,36.514,1.046,1.623,8.494,46.85,43.645,3.323,5.663,15.299,79.018,0.056,53.032,8,3,1,5,169,OR_2021,OR,2021,OR_2021,94.169,19.19,8.075,36.109,1.126,1.82,10.043,51.932,37.58,3.543,6.157,12.408,81.572,0.05,49.287,94.022,18.643,8.663,34.587,1.102,1.586,10.352,54.838,36.1,3.049,5.638,11.546,82.861,0.056,52.876
1277,15515,93.983,18.724,7.995,34.762,1.028,1.602,9.659,52.541,38.335,3.091,5.534,12.236,82.326,0.053,53.152,6,4,1,7,76,OR_2021,OR,2021,OR_2021,94.023,18.595,7.821,38.226,1.094,1.726,9.374,50.558,39.464,3.33,5.948,13.19,81.115,0.049,48.649,93.778,17.433,9.247,33.998,1.026,1.573,9.013,51.535,39.241,3.249,5.589,13.2,81.273,0.066,54.727
1279,15517,93.891,17.133,8.028,38.102,1.069,1.561,8.443,50.075,40.318,3.248,6.24,13.014,80.894,0.059,52.833,6,10,2,20,69,OR_2021,OR,2021,OR_2021,94.023,18.595,7.821,38.226,1.094,1.726,9.374,50.558,39.464,3.33,5.948,13.19,81.115,0.049,48.649,93.778,17.433,9.247,33.998,1.026,1.573,9.013,51.535,39.241,3.249,5.589,13.2,81.273,0.066,54.727
1280,15518,94.025,18.033,7.455,37.976,1.069,1.69,9.251,51.632,38.376,3.442,6.053,12.248,81.769,0.053,51.395,6,4,2,8,109,OR_2021,OR,2021,OR_2021,94.023,18.595,7.821,38.226,1.094,1.726,9.374,50.558,39.464,3.33,5.948,13.19,81.115,0.049,48.649,93.778,17.433,9.247,33.998,1.026,1.573,9.013,51.535,39.241,3.249,5.589,13.2,81.273,0.066,54.727
1282,15520,93.986,21.467,9.058,35.606,1.103,1.728,10.404,47.297,43.596,3.173,5.302,15.513,79.358,0.045,49.031,8,6,1,11,158,OR_2021,OR,2021,OR_2021,94.169,19.19,8.075,36.109,1.126,1.82,10.043,51.932,37.58,3.543,6.157,12.408,81.572,0.05,49.287,94.022,18.643,8.663,34.587,1.102,1.586,10.352,54.838,36.1,3.049,5.638,11.546,82.861,0.056,52.876
1283,15521,94.318,16.943,7.147,37.893,0.972,1.406,8.365,52.092,38.565,2.606,5.802,11.56,82.621,0.059,54.825,4,8,1,15,131,OR_2021,OR,2021,OR_2021,94.113,17.074,7.923,40.579,1.174,1.725,8.689,50.439,38.776,3.567,6.707,13.2,80.236,0.052,49.645,94.005,19.063,8.002,37.205,1.103,1.587,9.442,49.902,40.613,3.009,5.633,14.468,79.875,0.043,48.606
1284,15522,93.895,19.168,9.4,34.272,1.088,1.729,9.992,51.457,38.678,3.51,5.699,12.64,81.686,0.053,50.115,7,1,2,2,165,OR_2021,OR,2021,OR_2021,94.396,14.927,7.293,38.095,1.078,1.584,8.102,53.788,35.658,3.375,6.628,10.702,82.545,0.062,53.62,93.642,20.723,9.845,34.8,1.092,1.666,9.617,45.289,45.749,2.984,5.475,16.285,78.309,0.055,52.229
1286,15524,93.966,19.623,8.525,32.137,0.951,1.429,10.201,51.81,40.336,2.611,4.848,12.578,82.641,0.054,50.237,4,7,2,14,112,OR_2021,OR,2021,OR_2021,94.113,17.074,7.923,40.579,1.174,1.725,8.689,50.439,38.776,3.567,6.707,13.2,80.236,0.052,49.645,94.005,19.063,8.002,37.205,1.103,1.587,9.442,49.902,40.613,3.009,5.633,14.468,79.875,0.043,48.606
1287,15525,93.939,19.005,8.033,35.77,1.072,1.696,9.472,49.56,40.583,3.467,5.736,13.723,80.599,0.054,51.209,9,5,1,9,170,OR_2021,OR,2021,OR_2021,93.673,18.521,8.671,35.688,1.184,1.853,10.041,53.29,36.025,3.774,6.362,11.772,82.009,0.053,50.122,93.738,20.185,8.754,36.465,1.091,1.612,8.579,41.833,49.77,2.876,5.413,19.428,75.205,0.044,49.984
1288,15526,94.099,18.642,7.657,37.427,1.108,1.671,9.474,50.946,39.664,3.308,5.992,12.927,81.185,0.05,50.885,7,3,1,5,31,OR_2021,OR,2021,OR_2021,94.396,14.927,7.293,38.095,1.078,1.584,8.102,53.788,35.658,3.375,6.628,10.702,82.545,0.062,53.62,93.642,20.723,9.845,34.8,1.092,1.666,9.617,45.289,45.749,2.984,5.475,16.285,78.309,0.055,52.229
1289,15527,93.892,17.57,7.643,36.212,1.059,1.675,9.778,55.891,34.723,3.201,5.939,10.804,83.232,0.057,52.624,8,2,2,4,19,OR_2021,OR,2021,OR_2021,94.169,19.19,8.075,36.109,1.126,1.82,10.043,51.932,37.58,3.543,6.157,12.408,81.572,0.05,49.287,94.022,18.643,8.663,34.587,1.102,1.586,10.352,54.838,36.1,3.049,5.638,11.546,82.861,0.056,52.876
1290,15528,94.028,17.373,6.702,33.308,0.956,1.439,9.628,56.362,34.74,3.047,5.304,9.66,84.998,0.059,53.02,11,8,2,16,130,OR_2021,OR,2021,OR_2021,93.557,18.345,8.071,37.284,1.168,1.818,8.655,48.694,41.021,3.794,6.47,14.122,79.364,0.054,52.659,93.625,19.925,8.875,34.645,1.096,1.663,10.138,50.863,40.095,3.155,5.435,14.31,80.296,0.047,50.821
1291,15529,94.353,18.294,7.864,34.849,0.94,1.411,9.38,51.485,40.294,2.617,5.088,12.176,82.726,0.06,52.64,6,2,1,3,60,OR_2021,OR,2021,OR_2021,94.023,18.595,7.821,38.226,1.094,1.726,9.374,50.558,39.464,3.33,5.948,13.19,81.115,0.049,48.649,93.778,17.433,9.247,33.998,1.026,1.573,9.013,51.535,39.241,3.249,5.589,13.2,81.273,0.066,54.727
1292,15530,94.184,17.673,8.416,38.895,1.121,1.669,8.932,49.89,40.274,3.296,6.264,13.809,80.082,0.057,52.247,3,6,2,12,79,OR_2021,OR,2021,OR_2021,93.967,16.902,8.476,36.336,1.103,1.699,9.263,54.274,35.646,3.408,6.287,11.219,82.496,0.064,54.99,94.118,17.848,7.197,39.327,1.201,1.807,9,50.416,38.898,3.717,6.523,13.333,80.175,0.047,50.769
1293,15531,94.362,16.822,8.995,36.88,1.042,1.444,9.225,54.491,36.045,2.68,5.839,11.433,82.596,0.052,49.31,9,6,2,12,86,OR_2021,OR,2021,OR_2021,93.673,18.521,8.671,35.688,1.184,1.853,10.041,53.29,36.025,3.774,6.362,11.772,82.009,0.053,50.122,93.738,20.185,8.754,36.465,1.091,1.612,8.579,41.833,49.77,2.876,5.413,19.428,75.205,0.044,49.984
1294,15532,94.184,18.26,7.714,36.376,1.033,1.67,10.016,54.886,35.637,3.175,5.78,11.109,83.275,0.057,51.772,9,7,2,14,8,OR_2021,OR,2021,OR_2021,93.673,18.521,8.671,35.688,1.184,1.853,10.041,53.29,36.025,3.774,6.362,11.772,82.009,0.053,50.122,93.738,20.185,8.754,36.465,1.091,1.612,8.579,41.833,49.77,2.876,5.413,19.428,75.205,0.044,49.984
