N,Sample,DM,CP,Ash,aNDForm,ADICP,NDICP,SP,A2,B1,B2,C,A,B,kd,ERD6,Block,Column,Row,Position,Treatment,merged,Location,Year,Env,DM_201,CP_201,Ash_201,aNDForm_201,ADICP_201,NDICP_201,SP_201,A2_201,B1_201,B2_201,C_201,A_201,B_201,kd_201,ERD6_201,DM_202,CP_202,Ash_202,aNDForm_202,ADICP_202,NDICP_202,SP_202,A2_202,B1_202,B2_202,C_202,A_202,B_202,kd_202,ERD6_202
443,13397,93.004,17.458,7.953,34.395,0.814,1.205,10.301,59.492,33.469,2.071,4.717,9.114,86.192,0.062,52.442,9,3,1,9,4,WA_2020,WA,2020,WA_2020,93.067,19.128,8.367,37.586,0.996,1.422,10.268,53.444,38.539,2.758,5.092,12.661,82.227,0.048,48.315,93.006,20.941,8.865,33.766,0.994,1.54,11.142,53.929,38.009,2.977,4.587,12.428,82.951,0.041,48.554
444,13398,93.261,17.929,7.473,33.758,0.902,1.358,10.573,58.568,33.514,2.759,5.044,8.501,86.407,0.061,51.109,8,2,3,7,137,WA_2020,WA,2020,WA_2020,93.488,16.184,7.584,41.5,0.966,1.295,8.279,52.552,38.758,2.605,5.749,13.388,80.971,0.054,51.387,92.643,24.917,10.07,27.901,0.814,1.283,13.582,54.253,40.922,1.612,2.839,12.693,84.413,0.056,48.694
445,13399,93.477,18.155,8.105,33.959,0.901,1.348,10.324,56.327,36.281,2.632,4.959,10.588,84.528,0.057,52.071,10,5,3,19,201,WA_2020,WA,2020,WA_2020,93.477,18.155,8.105,33.959,0.901,1.348,10.324,56.327,36.281,2.632,4.959,10.588,84.528,0.057,52.071,93.443,19.985,8.078,35.278,0.913,1.461,11.026,56.42,36.063,2.808,4.468,11.056,84.381,0.046,47.707
446,13400,92.735,22.092,8.51,33.312,0.938,1.379,12.141,54.327,38.497,2.574,3.949,12.664,83.521,0.038,44.461,10,4,1,13,85,WA_2020,WA,2020,WA_2020,93.477,18.155,8.105,33.959,0.901,1.348,10.324,56.327,36.281,2.632,4.959,10.588,84.528,0.057,52.071,93.443,19.985,8.078,35.278,0.913,1.461,11.026,56.42,36.063,2.808,4.468,11.056,84.381,0.046,47.707
447,13401,93.006,20.941,8.865,33.766,0.994,1.54,11.142,53.929,38.009,2.977,4.587,12.428,82.951,0.041,48.554,9,3,2,10,202,WA_2020,WA,2020,WA_2020,93.067,19.128,8.367,37.586,0.996,1.422,10.268,53.444,38.539,2.758,5.092,12.661,82.227,0.048,48.315,93.006,20.941,8.865,33.766,0.994,1.54,11.142,53.929,38.009,2.977,4.587,12.428,82.951,0.041,48.554
448,13402,92.816,20.552,8.097,32.428,0.821,1.236,11.555,56.47,36.936,2.144,3.833,11.331,84.936,0.051,49.764,10,5,1,17,59,WA_2020,WA,2020,WA_2020,93.477,18.155,8.105,33.959,0.901,1.348,10.324,56.327,36.281,2.632,4.959,10.588,84.528,0.057,52.071,93.443,19.985,8.078,35.278,0.913,1.461,11.026,56.42,36.063,2.808,4.468,11.056,84.381,0.046,47.707
449,13403,93.298,16.911,7.132,34.978,0.835,1.377,10.115,58.963,33.009,2.791,5.052,8.963,86.145,0.062,52.255,3,4,1,13,66,WA_2020,WA,2020,WA_2020,92.93,19.744,8.17,36.522,0.987,1.466,10.668,53.687,38.232,2.629,4.835,12.907,82.329,0.048,49.155,92.733,20.859,8.809,33.652,0.984,1.444,11.142,53.235,39.597,2.623,4.586,13.603,81.962,0.051,49.464
450,13404,92.885,19.003,8.269,35.757,1,1.505,10.036,53.561,38.303,2.888,5.158,12.944,81.787,0.055,52.057,9,4,4,16,155,WA_2020,WA,2020,WA_2020,93.067,19.128,8.367,37.586,0.996,1.422,10.268,53.444,38.539,2.758,5.092,12.661,82.227,0.048,48.315,93.006,20.941,8.865,33.766,0.994,1.54,11.142,53.929,38.009,2.977,4.587,12.428,82.951,0.041,48.554
451,13405,92.923,20.525,8.189,34.168,0.91,1.446,10.965,54.296,38.134,2.616,4.523,12.152,83.346,0.048,48.531,4,2,4,8,56,WA_2020,WA,2020,WA_2020,93.046,19.179,8.117,37.192,0.989,1.609,10.567,55.552,35.97,3.164,5.205,11.771,83.04,0.049,48.339,92.775,18.615,8.102,36.224,0.943,1.413,10.784,57.331,34.696,2.707,4.892,10.513,84.632,0.054,50.576
452,13406,92.952,20.787,8.651,34.304,0.903,1.331,10.897,53.135,40.149,2.159,4.343,13.223,82.49,0.056,51.227,1,2,1,5,126,WA_2020,WA,2020,WA_2020,92.74,18.795,8.259,38.22,1.043,1.441,10.774,55.78,35.826,2.706,5.358,11.657,83.057,0.042,45.92,93.258,17.512,8.097,37.214,0.942,1.517,10.395,59.303,32.234,2.994,5.171,9.691,85.065,0.05,48.079
