gen,BLUE,weight,env
1,1.09818144725689,180.808081349074,ID_2020
10,1.38318182560752,193.637228333037,ID_2020
100,1.23618146526875,176.696529805195,ID_2020
101,1.22068137923755,190.389741465505,ID_2020
102,1.29418146526875,176.696529805195,ID_2020
103,1.46618139577779,150.890492716758,ID_2020
104,1.40018125748963,150.889997583437,ID_2020
105,NA,NA,ID_2020
106,1.13918138040541,180.807752660163,ID_2020
107,1.13568153094704,143.117398547826,ID_2020
108,1.36118164649836,193.360446448903,ID_2020
109,1.16418164649836,193.360446448903,ID_2020
11,1.22318163692983,190.144462761174,ID_2020
110,1.33118132752686,150.890268074238,ID_2020
111,1.28818184859922,188.149630992445,ID_2020
112,1.25118182030504,193.637243569458,ID_2020
113,1.24468159656327,143.117514947533,ID_2020
114,1.22518160196108,190.144390586086,ID_2020
115,1.19318138040541,180.807752660163,ID_2020
116,1.18168137923755,190.389741465505,ID_2020
117,1.12518160196108,190.144390586086,ID_2020
118,1.11918134977452,180.807544117779,ID_2020
119,1.24368177956547,190.434674333694,ID_2020
12,1.17468135477067,190.389420729127,ID_2020
120,1.1881815062107,193.359882649534,ID_2020
121,1.11318141314399,180.807930293472,ID_2020
122,1.19868174833948,190.434530948979,ID_2020
123,1.15318141314399,180.807930293472,ID_2020
124,1.20268133142586,190.389043512486,ID_2020
125,1.32868177956547,190.434674333694,ID_2020
126,1.38518158453398,176.696908922611,ID_2020
127,1.28818164649836,193.360446448903,ID_2020
128,1.36068133142586,190.389043512486,ID_2020
129,1.24118179283798,188.149543836341,ID_2020
13,1.22768135477067,190.389420729127,ID_2020
130,1.42518132752686,150.890268074238,ID_2020
131,1.16918141314399,180.807930293472,ID_2020
132,1.43718125748963,150.889997583437,ID_2020
133,1.31718179385169,193.637233542859,ID_2020
134,1.13818160352664,193.360289458789,ID_2020
135,NA,NA,ID_2020
136,1.29168140541036,190.390011847325,ID_2020
137,1.15768114819117,175.738718729964,ID_2020
138,1.23668176378281,190.434591442254,ID_2020
139,1.12368137923755,190.389741465505,ID_2020
14,1.11618144725655,180.808081348952,ID_2020
140,1.14268156513083,143.11746466121,ID_2020
141,1.24018163692983,190.144462761174,ID_2020
142,1.30568133142586,190.389043512486,ID_2020
143,1.23418156685168,190.14430543334,ID_2020
144,1.25618158453398,176.696908922611,ID_2020
145,1.34018179385169,193.637233542859,ID_2020
146,1.23868110416927,175.737610907243,ID_2020
147,1.23818160352664,193.360289458789,ID_2020
148,1.18568177424597,190.43463913367,ID_2020
149,1.29418140104112,176.696271808638,ID_2020
15,1.18318146526875,176.696529805195,ID_2020
150,1.1981815062107,193.359882649534,ID_2020
151,1.14318164649836,193.360446448903,ID_2020
152,1.21568174833948,190.434530948979,ID_2020
153,1.15418182560752,193.637228333037,ID_2020
154,1.44418139577779,150.890492716758,ID_2020
