gen,BLUE,weight,env
1,21.1243173287862,2.31952820859986,ID_2020
10,22.9873173658509,2.21438165768812,ID_2020
100,24.9273153078047,2.30226659447131,ID_2020
101,22.3333157957845,2.18892026042135,ID_2020
102,22.5913153078046,2.30226659447131,ID_2020
103,21.555314236281,2.2738271013433,ID_2020
104,22.8233138343335,2.27381369583167,ID_2020
105,NA,NA,ID_2020
106,22.180316708089,2.31952340691669,ID_2020
107,24.8418177376314,1.89848520977788,ID_2020
108,23.2838173575125,2.1611494683002,ID_2020
109,22.9258173575125,2.1611494683002,ID_2020
11,22.9763176725283,2.23079297921471,ID_2020
110,22.4883140289496,2.27382083603262,ID_2020
111,23.9713187603981,1.97584583822284,ID_2020
112,22.8213174454573,2.21438210127419,ID_2020
113,24.451817693243,1.89848579959419,ID_2020
114,22.7343175849715,2.23079189755487,ID_2020
115,22.042316708089,2.31952340691669,ID_2020
116,21.6443157957845,2.18892026042135,ID_2020
117,23.1723175849715,2.23079189755487,ID_2020
118,23.284316331909,2.31952035180032,ID_2020
119,23.032818172657,2.22223124888246,ID_2020
12,25.2373152971632,2.18891640692536,ID_2020
120,22.4668166104061,2.16114391447496,ID_2020
121,23.6023170413637,2.31952600763467,ID_2020
122,20.785817854046,2.22223028432047,ID_2020
123,23.5923170413637,2.31952600763467,ID_2020
124,22.8393147679479,2.18891192689623,ID_2020
125,22.698818172657,2.22223124888246,ID_2020
126,25.7233157966733,2.30227407841791,ID_2020
127,22.9388173575125,2.1611494683002,ID_2020
128,24.7103147679479,2.18891192689623,ID_2020
129,23.9813184268923,1.97584552991773,ID_2020
13,21.9563152971632,2.18891640692536,ID_2020
130,23.8333140289496,2.27382083603263,ID_2020
131,21.0463170413637,2.31952600763467,ID_2020
132,22.1743138343335,2.27381369583167,ID_2020
133,21.9333175822726,2.21438240271279,ID_2020
134,21.1208171158181,2.16114798940943,ID_2020
135,NA,NA,ID_2020
136,24.8663162572772,2.18892355240845,ID_2020
137,24.3513154348152,2.08295227753924,ID_2020
138,22.416817976404,2.22223073204773,ID_2020
139,21.7173157957845,2.18892026042135,ID_2020
14,22.8403173287826,2.31952820859699,ID_2020
140,25.30281772991,1.89848558808138,ID_2020
141,21.1223176725283,2.23079297921471,ID_2020
142,25.7693147679479,2.18891192689623,ID_2020
143,23.7753174466545,2.23079056933446,ID_2020
144,23.3163157966733,2.30227407841791,ID_2020
145,23.9773175822726,2.21438240271279,ID_2020
146,21.9483142637849,2.08294376346349,ID_2020
