gen,BLUE,weight,env
1,59.1100058652611,1.85402340880807,ID_2020
10,57.649002299528,1.6646813849564,ID_2020
100,57.4370086183784,1.67203256023474,ID_2020
101,58.6485099013351,1.80005701989445,ID_2020
102,56.7040086183784,1.67203256023474,ID_2020
103,53.0415070444458,1.69172352798743,ID_2020
104,55.6425092170557,1.69171694305903,ID_2020
105,NA,NA,ID_2020
106,58.8470072034678,1.8540188515817,ID_2020
107,56.0395009440563,1.94626321182957,ID_2020
108,56.5500018848117,1.74111819102306,ID_2020
109,57.3860018848117,1.74111819102305,ID_2020
11,57.541503189408,1.89541674625064,ID_2020
110,55.2655081176281,1.69172052501356,ID_2020
111,56.6730008719602,1.85825395915401,ID_2020
112,57.3380023029125,1.66468163060888,ID_2020
113,56.2675002534004,1.94626408420566,ID_2020
114,57.4735036667015,1.89541568183995,ID_2020
115,56.1340072034678,1.8540188515817,ID_2020
116,58.8165099013351,1.80005701989445,ID_2020
117,57.4045036667015,1.89541568183995,ID_2020
118,57.768007908225,1.85401602853088,ID_2020
119,54.6944988208214,1.82839414635833,ID_2020
12,59.7855106699685,1.80005279585651,ID_2020
120,59.6310042227207,1.74111480351056,ID_2020
121,58.4750065196192,1.85402129778214,ID_2020
122,56.3804994464835,1.82839358867157,ID_2020
123,57.2660065196192,1.85402129778214,ID_2020
124,57.686511474326,1.80004803333639,ID_2020
125,56.7464988208214,1.82839414635833,ID_2020
126,56.294006713301,1.67203761714524,ID_2020
127,58.4650018848117,1.74111819102306,ID_2020
128,52.857511474326,1.80004803333639,ID_2020
129,56.6280018131412,1.85825249713673,ID_2020
13,59.3905106699685,1.80005279585651,ID_2020
130,58.0295081176281,1.69172052501356,ID_2020
131,58.7550065196192,1.85402129778213,ID_2020
132,53.9655092170557,1.69171694305903,ID_2020
133,58.5610025098151,1.66468160275123,ID_2020
134,58.4090026082449,1.74111730347954,ID_2020
135,NA,NA,ID_2020
136,52.3325091591943,1.8000607502547,ID_2020
137,58.0995077465641,1.76085876617119,ID_2020
138,57.2924991651836,1.82839383089919,ID_2020
139,58.1705099013351,1.80005701989445,ID_2020
14,58.905005865268,1.85402340880881,ID_2020
140,54.3035005708667,1.94626368946573,ID_2020
141,56.797503189408,1.89541674625064,ID_2020
142,55.248511474326,1.80004803333639,ID_2020
143,58.6505041936774,1.8954144238567,ID_2020
144,58.289006713301,1.67203761714524,ID_2020
145,54.4140025098151,1.66468160275122,ID_2020
146,56.4265095558316,1.76085117115964,ID_2020
147,56.0820026082449,1.74111730347954,ID_2020
148,56.3814989570548,1.82839401512077,ID_2020
149,57.4660096336376,1.67202938689498,ID_2020
15,57.5160086183784,1.67203256023474,ID_2020
150,57.9720042227206,1.74111480351056,ID_2020
151,57.8760018848117,1.74111819102306,ID_2020
152,56.2504994464835,1.82839358867157,ID_2020
153,57.558002299528,1.6646813849564,ID_2020
154,53.7465070444458,1.69172352798743,ID_2020
155,56.6460033909279,1.74111618809906,ID_2020
156,56.4505077465641,1.76085876617119,ID_2020
