gen,BLUE,weight,env
1,11.0874090813418,33.0313706436535,ID_2020
10,11.3884090862831,31.6934509229349,ID_2020
100,11.6989090552905,35.1760039263507,ID_2020
101,11.11990911427,32.005519158343,ID_2020
102,11.2049090552905,35.1760039263507,ID_2020
103,9.77240904818508,26.8351341779242,ID_2020
104,10.3494090886829,26.8350531612555,ID_2020
105,NA,NA,ID_2020
106,11.1434091093761,33.0313359461017,ID_2020
107,10.7724090445493,35.2597117862021,ID_2020
108,11.3684090744012,34.0527603866579,ID_2020
109,11.9804090744012,34.0527603866579,ID_2020
11,11.7134090470068,34.0893993505273,ID_2020
110,10.5144090671516,26.8350975757067,ID_2020
111,11.272409101471,33.9629285987208,ID_2020
112,11.0614090794874,31.693454879484,ID_2020
113,11.2004090564878,35.2597231921797,ID_2020
114,11.5294090475481,34.089379097604,ID_2020
115,11.0304091093761,33.0313359461017,ID_2020
116,11.08290911427,32.005519158343,ID_2020
117,11.2844090475481,34.089379097604,ID_2020
118,10.8954091224317,33.0313115438534,ID_2020
119,10.5484091013274,35.2934007443655,ID_2020
12,11.1189091181291,32.0054493601331,ID_2020
120,12.0164090519139,34.0526901859306,ID_2020
121,11.2954090948708,33.0313553687406,ID_2020
122,10.7504091006209,35.2933785462867,ID_2020
123,11.1014090948708,33.0313553687406,ID_2020
124,11.1999091140708,32.0053704444192,ID_2020
125,10.8284091013274,35.2934007443655,ID_2020
126,11.3239090405803,35.1761066222041,ID_2020
127,11.6814090744012,34.0527603866579,ID_2020
128,11.2469091140708,32.0053704444192,ID_2020
129,11.4814090842376,33.9628850123992,ID_2020
13,11.0629091181291,32.0054493601331,ID_2020
130,10.2524090671516,26.8350975757068,ID_2020
131,10.8124090948708,33.0313553687406,ID_2020
132,10.8854090886829,26.8350531612555,ID_2020
133,10.5814090597382,31.6934523331441,ID_2020
134,10.9144090639313,34.0527421772781,ID_2020
135,NA,NA,ID_2020
136,11.4899091055131,32.0055806979462,ID_2020
137,11.4639091425229,30.5720243921492,ID_2020
138,11.0374091032282,35.293387214911,ID_2020
139,10.78090911427,32.005519158343,ID_2020
14,11.8884090813412,33.0313706436787,ID_2020
140,11.3434090494702,35.2597181476326,ID_2020
141,11.4244090470068,34.0893993505273,ID_2020
142,11.9039091140708,32.0053704444192,ID_2020
143,11.3464090509374,34.0893557975786,ID_2020
144,11.1229090405803,35.1761066222041,ID_2020
145,11.0004090597382,31.6934523331441,ID_2020
146,11.5809090856234,30.5718796170449,ID_2020
147,11.2454090639313,34.0527421772781,ID_2020
148,11.0674091034599,35.2933946123297,ID_2020
149,11.4579090684875,35.1759377617534,ID_2020
15,11.7339090552905,35.1760039263507,ID_2020
150,11.1724090519139,34.0526901859307,ID_2020
151,11.6514090744012,34.052760386658,ID_2020
152,10.8414091006209,35.2933785462867,ID_2020
153,11.5734090862831,31.6934509229349,ID_2020
154,10.8814090481851,26.8351341779242,ID_2020
155,10.9984090558186,34.0527190841025,ID_2020
156,11.3919091425229,30.5720243921492,ID_2020
157,11.0484090939905,33.9629086195416,ID_2020
158,11.2214090842376,33.9628850123992,ID_2020
159,11.2504090558186,34.0527190841025,ID_2020
16,11.0794090481851,26.8351341779242,ID_2020
160,11.2614090813412,33.0313706436787,ID_2020
161,11.5984090639313,34.0527421772781,ID_2020
162,11.6374090519139,34.0526901859307,ID_2020
163,11.5794090509374,34.0893557975786,ID_2020
164,11.5939090405803,35.1761066222041,ID_2020
