gen,BLUE,weight,env
1,14.6933634849926,0.794795548490588,ID_2020
10,15.1463637036427,0.734405047531904,ID_2020
100,14.9748651558294,0.783046617782419,ID_2020
101,12.1598639194274,0.704345258292705,ID_2020
102,12.6498651558294,0.783046617782419,ID_2020
103,15.4028653767553,0.767945430694497,ID_2020
104,14.4488658202843,0.767940603652896,ID_2020
105,NA,NA,ID_2020
106,13.3593638272886,0.794793955227741,ID_2020
107,10.8793638949244,0.605061056462252,ID_2020
108,14.873363715918,0.785891786212875,ID_2020
109,16.063363715918,0.785891786212875,ID_2020
11,13.6193628391223,0.789194480632504,ID_2020
110,14.9758655921929,0.767943164353723,ID_2020
111,14.2898641780979,0.77527369188443,ID_2020
112,16.1283636679679,0.73440508675871,ID_2020
113,11.8813640925052,0.605061449000594,ID_2020
114,13.703362837993,0.789194293484004,ID_2020
115,13.2153638272886,0.794793955227741,ID_2020
116,10.3858639194274,0.704345258292705,ID_2020
117,15.889362837993,0.789194293484004,ID_2020
118,13.871364049604,0.794792945529464,ID_2020
119,12.8263641399616,0.776365404482538,ID_2020
12,16.4238642346076,0.704344524198896,ID_2020
120,14.5823640455594,0.785889994847199,ID_2020
121,12.9073636386225,0.794794816308427,ID_2020
122,13.9643641893681,0.776364479414212,ID_2020
123,18.6473636386225,0.794794816308427,ID_2020
124,14.4008645886812,0.704343611421597,ID_2020
125,12.3273641399616,0.776365404482537,ID_2020
126,14.2598648248921,0.783049746741138,ID_2020
127,15.741363715918,0.785891786212875,ID_2020
128,19.6018645886812,0.704343611421597,ID_2020
129,13.803864240108,0.775272635571322,ID_2020
13,11.0858642346076,0.704344524198896,ID_2020
130,14.9638655921929,0.767943164353724,ID_2020
131,14.9853636386225,0.794794816308426,ID_2020
132,14.5738658202843,0.767940603652897,ID_2020
133,13.2223635475085,0.734405006395408,ID_2020
134,12.2993638100354,0.785891310292443,ID_2020
135,NA,NA,ID_2020
136,21.0118636373551,0.704345836753129,ID_2020
137,12.089364348254,0.641815794237161,ID_2020
138,12.6913641750627,0.776364849996426,ID_2020
139,12.2268639194274,0.704345258292704,ID_2020
14,17.6583634849895,0.79479554849059,ID_2020
140,11.2873639858062,0.605061281730886,ID_2020
141,15.5893628391223,0.789194480632505,ID_2020
142,11.7698645886812,0.704343611421596,ID_2020
143,13.7053628779992,0.78919406646469,ID_2020
144,15.3788648248921,0.783049746741138,ID_2020
145,14.4883635475086,0.734405006395408,ID_2020
146,11.093365254345,0.641814107822495,ID_2020
147,15.4723638100354,0.785891310292443,ID_2020
148,14.5773641593209,0.776365158648853,ID_2020
149,14.70086534658,0.783044715405926,ID_2020
15,15.1278651558294,0.783046617782419,ID_2020
150,13.7553640455594,0.7858899948472,ID_2020
151,13.162363715918,0.785891786212875,ID_2020
152,13.2713641893681,0.776364479414213,ID_2020
153,15.7853637036427,0.734405047531904,ID_2020
154,15.4848653767553,0.767945430694497,ID_2020
155,12.2163639214636,0.785890720109164,ID_2020
156,14.075364348254,0.64181579423716,ID_2020
157,13.4398642030076,0.775273200689669,ID_2020
158,14.678864240108,0.775272635571322,ID_2020
159,14.4343639214636,0.785890720109164,ID_2020
16,16.1578653767553,0.767945430694497,ID_2020
160,15.7543634849895,0.79479554849059,ID_2020
161,14.9103638100354,0.785891310292443,ID_2020
162,15.1103640455594,0.7858899948472,ID_2020
163,15.1673628779992,0.78919406646469,ID_2020
164,16.3008648248921,0.783049746741138,ID_2020
165,11.7963640925052,0.605061449000595,ID_2020
166,12.5968653767554,0.767945430694497,ID_2020
167,14.9863636166865,0.734405072991353,ID_2020
168,13.3548649808244,0.783048286892109,ID_2020
169,14.2888641780979,0.77527369188443,ID_2020
17,11.7213647870579,0.641815051636587,ID_2020
170,10.3573640925052,0.605061449000594,ID_2020
171,12.585362837993,0.789194293484003,ID_2020
172,14.035864240108,0.775272635571322,ID_2020
173,12.246365254345,0.641814107822495,ID_2020
174,16.9088651558294,0.783046617782419,ID_2020
175,17.1113636386225,0.794794816308427,ID_2020
176,14.3883628779992,0.78919406646469,ID_2020
177,15.4628642931025,0.775271987429389,ID_2020
178,15.7168658202843,0.767940603652897,ID_2020
179,17.8388649808245,0.783048286892109,ID_2020
18,12.5423657356929,0.641812944254196,ID_2020
180,14.1398641780979,0.775273691884428,ID_2020
181,17.3833638272886,0.794793955227742,ID_2020
182,10.7683641869696,0.605061559974085,ID_2020
183,16.5293641399616,0.776365404482537,ID_2020
184,11.2113641869696,0.605061559974085,ID_2020
185,13.3113629559809,0.78919378611375,ID_2020
186,13.0683640455594,0.785889994847201,ID_2020
