gen,ID_2020_DM,ID_2020_CP,ID_2020_Ash,ID_2020_aNDForm,ID_2020_ADICP,ID_2020_NDICP,ID_2020_SP,ID_2020_A2,ID_2020_B1,ID_2020_B2,ID_2020_C,ID_2020_A,ID_2020_B,ID_2020_kd,ID_2020_ERD6,OR_2020_DM,OR_2020_CP,OR_2020_Ash,OR_2020_aNDForm,OR_2020_ADICP,OR_2020_NDICP,OR_2020_SP,OR_2020_A2,OR_2020_B1,OR_2020_B2,OR_2020_C,OR_2020_A,OR_2020_B,OR_2020_kd,OR_2020_ERD6,OR_2021_DM,OR_2021_CP,OR_2021_Ash,OR_2021_aNDForm,OR_2021_ADICP,OR_2021_NDICP,OR_2021_SP,OR_2021_A2,OR_2021_B1,OR_2021_B2,OR_2021_C,OR_2021_A,OR_2021_B,OR_2021_kd,OR_2021_ERD6,WA_2020_DM,WA_2020_CP,WA_2020_Ash,WA_2020_aNDForm,WA_2020_ADICP,WA_2020_NDICP,WA_2020_SP,WA_2020_A2,WA_2020_B1,WA_2020_B2,WA_2020_C,WA_2020_A,WA_2020_B,WA_2020_kd,WA_2020_ERD6,WA_2021_DM,WA_2021_CP,WA_2021_Ash,WA_2021_aNDForm,WA_2021_ADICP,WA_2021_NDICP,WA_2021_SP,WA_2021_A2,WA_2021_B1,WA_2021_B2,WA_2021_C,WA_2021_A,WA_2021_B,WA_2021_kd,WA_2021_ERD6,PC1,PC2,PC3
1,91.98036619,21.12431733,11.08740908,29.66363864,0.755454373,1.098181447,10.06499913,48.98922785,45.83959222,1.847772125,3.768726742,14.69336348,81.48331888,0.067772736,59.11000587,93.39554535,16.48886857,7.549458305,35.89373289,1.205773217,1.843274062,9.74159417,57.25263819,32.05353428,3.85359446,6.910275823,10.79822554,82.19940753,0.046454545,48.73154332,94.27640908,16.52972065,7.307545265,36.29127781,1.070635955,1.539408502,9.819722033,57.26445112,32.77946105,3.209816943,6.135864011,9.460229202,84.60563342,0.055136425,49.25783483,92.57077136,17.51614394,7.986456707,32.91380874,0.84949982,1.289454166,10.34409455,58.70940648,33.31764309,2.699771169,4.677634539,9.758727913,85.64877445,0.053454561,49.1026847,94.5132274,17.25272891,6.933318142,25.34477204,0.714818099,1.159545309,10.03404444,59.13994779,33.52019116,2.468317802,4.339862534,6.943551661,88.48890464,0.063363639,52.47814312,-26.72484244,5.049525472,-8.681158622
2,92.48863437,20.37981785,10.7664091,30.95913934,0.83945453,1.255681748,10.10249901,50.65422651,42.98109226,1.956772705,4.292227326,14.23336419,81.5033176,0.065272729,56.47249945,93.52854531,15.02886772,7.435457662,40.62373235,1.344773118,2.180273763,7.868593614,52.72663799,34.4495357,4.931593783,8.225275393,12.08722575,79.65240778,0.046454546,47.50154436,94.67740913,16.58672185,8.187545496,37.64927702,1.005636007,1.441408585,8.520722917,51.67745167,38.87046008,2.815817069,6.071863883,11.56322907,82.5576338,0.066136415,53.69483184,92.96727165,18.78464502,7.779957266,35.15580164,0.938999803,1.432954232,10.54709546,55.59490612,36.26314273,2.703270511,5.039633573,10.56672859,84.45577387,0.057454564,50.17818676,94.90272737,14.75722944,6.690818197,34.00677141,0.860318097,1.216045251,8.279544548,56.4324438,34.72469523,2.573317714,5.838862333,8.28955301,85.94540334,0.056863639,50.26414531,-59.35154828,-0.070032295,-3.508335976
3,92.87802604,20.70831737,10.71040909,31.9356374,0.89995455,1.356181826,9.646499215,46.634727,46.81309111,2.178772787,4.664727474,16.0113637,79.48381801,0.061772727,56.0580023,93.49504556,14.97936326,7.5144545,40.55722769,1.236272795,2.008772792,7.862090872,53.86613685,34.05854382,4.192090612,7.722772755,11.76472692,80.46290895,0.054454548,52.01304654,94.43690919,17.98272786,7.296545514,36.4517733,1.162636386,1.808409101,9.422727514,52.15845461,37.28595442,3.848818043,6.625863617,11.6092273,81.74363632,0.052136367,51.20981911,93.18727261,17.99414021,7.900955073,36.61780663,0.901999855,1.31045429,9.78709284,54.53290824,38.4596389,2.31477135,5.007635327,12.43672731,82.33727375,0.052454558,49.46468413,94.35472727,17.60972796,6.941318184,27.21527177,0.839318114,1.174545312,10.66104472,60.71395169,31.42768568,2.508817903,4.999863178,5.130047139,89.77390796,0.056363639,48.09114041,-42.90647613,-35.23647556,-2.319008222
4,92.77360012,22.51331745,10.78340908,29.60163721,0.877954547,1.34018182,10.93849927,48.61572705,45.5300911,1.756772764,4.255727442,15.20836367,80.74681807,0.062772727,56.2360023,93.27704557,19.18886509,7.887956337,36.30772865,1.28577301,2.277773359,10.65609199,54.22763785,33.67804033,4.628592572,6.872773838,11.93322594,81.44240922,0.047954545,47.85604488,94.04190901,20.43072545,8.818045804,36.00527265,1.087636116,1.715908721,9.209725728,44.35595188,45.87845959,3.294817246,5.686363503,16.61222857,78.00313489,0.055136383,51.32832232,93.0602707,16.243639,7.569955478,35.10930989,0.773499961,1.176954437,10.02909296,61.25240845,31.71963902,2.008272008,4.852635492,8.284226919,86.96127446,0.067454547,53.2001822,94.12472739,19.03972778,7.270318089,28.71177203,0.81981814,1.099545382,10.85754482,58.71444916,34.36768832,1.980818002,4.605363128,7.317550263,88.08290519,0.058863637,48.8166403,-46.25776972,-6.308794267,9.387446493
5,92.25022783,21.92031633,10.63840912,29.44164026,0.766454349,1.20318135,10.54299837,50.0882271,44.21959326,1.770772072,3.79272681,13.69836405,82.43831827,0.068772739,58.63200791,93.52554535,15.78186857,7.041458305,41.49373289,1.194773217,1.883274062,8.11659417,52.23263819,36.90053428,3.75559446,7.154275823,13.45222554,79.36740753,0.046454545,49.60354332,94.72640908,15.11272065,6.769545265,39.16927781,0.959635955,1.386408502,7.899722033,52.97545112,37.20646105,2.905816943,6.099864011,10.7342292,83.30763342,0.067136425,55.14083483,93.03777247,19.17864001,8.69995642,37.70282093,1.076999954,1.642454536,11.16259155,58.0484063,33.19914365,3.295272482,5.52313532,10.45022811,84.09477357,0.042454549,46.44068427,94.91322737,15.0467277,5.785318196,27.11627213,0.802818177,1.343545464,8.391045366,57.72945285,32.84018365,3.29531813,5.652863426,6.395046187,87.6989083,0.053363636,49.41313683,-53.18526556,-13.87975297,-4.088449855
6,92.06264173,22.3673158,10.56190904,28.03663869,0.810454462,1.297181585,10.91049805,49.61822627,44.99559364,2.117272425,3.773727118,14.26186482,81.81531722,0.062272739,57.26400671,93.56654522,16.54486687,7.499956916,40.50622971,1.21877324,1.955774292,8.342593471,50.45113778,38.36953875,4.055594071,7.248774647,13.62422603,79.24990839,0.051954549,49.38954469,94.2294092,17.49372314,8.684545848,37.0212765,1.03663611,1.549408754,8.930723933,51.2159519,39.74945987,3.036817321,5.818863768,12.98822902,81.21313398,0.057136405,51.66382972,92.89427231,16.4961429,7.886956143,38.50280188,0.984999832,1.496454258,9.391094298,56.3739073,34.61464107,3.11077099,5.960634557,10.40772773,83.83327406,0.06045456,52.25968474,94.60772731,15.44172806,7.014318098,31.80127176,0.813318103,1.14554529,9.308044321,59.91194952,31.86368816,2.379817943,5.455863036,5.768048815,88.80290653,0.063363638,50.48714207,-55.24008292,-9.983995985,-24.33575747
7,91.4760871,25.09281774,11.00940904,21.8061379,0.674954462,1.148681531,14.18049934,57.77372706,38.57309221,1.274772397,2.460727055,10.34936389,86.96981814,0.071772732,57.49250094,93.40854522,19.89886687,8.583956916,33.72922971,1.17877324,1.885774292,10.44859347,50.83213778,39.65753875,3.856594071,6.261774647,12.96822603,80.92390839,0.052954549,49.06254469,93.9704092,15.69672314,7.675545848,37.4142765,1.13263611,1.712408754,8.467723933,53.0989519,36.27145987,3.773817321,6.607863768,12.43722902,81.07813398,0.058136405,51.87282972,93.19527006,16.43264116,7.026956246,37.27530587,0.967499912,1.501954329,10.24909396,60.68840698,30.35764184,3.106271508,5.653634738,8.855227508,85.62927466,0.055454552,49.76518372,94.37372739,17.55372843,7.552318124,29.7547716,0.832818118,1.185545334,10.03454472,58.04344694,34.29269119,2.216817869,4.829362797,7.882551887,87.20190401,0.055863638,49.07164227,-15.80168411,21.62261169,-17.139277
8,92.35901521,23.47131752,11.52040907,27.49663703,0.84995454,1.33318181,11.65049932,48.29772714,46.64909108,1.871772731,3.880727402,14.68436362,81.41881817,0.066772727,58.99100237,93.35654487,18.14936447,7.864955767,43.05423057,1.277773048,2.129273854,8.538091673,46.81413724,41.67354134,4.144092859,7.326273954,16.68272655,76.17340864,0.04845455,50.15904767,94.44390937,17.20972494,7.368045927,37.17027409,1.003136161,1.610408862,9.954226042,57.79345307,32.47295773,3.141317635,5.903863612,9.035228381,85.19563506,0.06213639,53.05882665,93.3707721,19.02564058,8.120955752,31.81331645,0.849000008,1.377454526,11.4455926,59.84690892,33.05313687,2.544272907,4.38963522,8.417727028,87.11577373,0.064454545,51.53468053,94.66722738,17.42272723,7.094818075,32.84277312,0.851318171,1.324545454,10.31004502,58.61745456,33.11018197,2.502818226,5.060863538,7.632546719,87.33790815,0.057363636,48.37813642,-0.325231541,41.45775785,-1.257928435
9,92.47520845,23.80081798,11.5114091,27.57913913,0.813454535,1.192681764,11.60849909,47.51022651,48.0780922,1.240772717,3.389227327,16.24936418,80.33731761,0.059272728,56.09449917,93.61354531,16.21786772,7.519457662,41.41573235,1.215773118,1.829273763,8.877593614,53.79063799,35.3925357,3.763593783,7.124275393,11.98722575,81.01740778,0.046454546,46.86054436,94.16540913,19.56372185,8.485545496,36.95427702,1.370636007,2.014408585,10.29272292,49.68945167,38.81246008,4.283817069,7.014863883,13.72322907,79.7726338,0.049136415,47.84583184,92.79327165,21.11364502,7.745957266,34.52280164,0.868999803,1.210954232,10.57109546,49.52590612,44.37214273,1.968270511,3.951633573,15.05272859,81.08877387,0.049454564,51.63818676,94.55672737,18.88422944,7.152818197,26.39777141,0.785318097,1.106045251,11.28154455,60.2424438,33.23369523,1.961317714,4.307862333,6.13655301,89.45440334,0.056863639,50.56614531,5.994259355,32.06441943,2.55402682
10,92.44702604,22.98731737,11.38840909,27.7866374,0.83895455,1.383181826,11.26749922,48.036727,46.11209111,2.027772787,3.781727474,15.1463637,81.19081801,0.062772727,57.6490023,93.49154507,17.45586512,7.265957407,40.4892346,1.299773152,2.061773921,9.02159207,51.83313747,36.11403742,4.27009454,7.469775624,12.87272645,79.73590745,0.048454553,47.50454903,93.96740948,19.01472213,7.498545706,34.27927809,1.126135985,1.7234086,10.3172236,53.69445268,36.48095982,3.682816798,5.869364059,10.44222935,83.74813327,0.049636423,49.28833543,92.77927129,18.74264195,8.347956841,34.46280732,0.973499971,1.541954367,11.30459254,60.24540976,30.95663908,3.369272401,4.994134437,8.680226617,86.39827322,0.040954549,45.26918166,94.30772738,20.49172732,7.337318073,28.3947726,0.848818197,1.316545449,11.78404492,58.65195103,34.13418568,2.311818182,4.466363424,7.085548255,88.45440657,0.055863636,49.11513826,2.916051333,13.15934895,-24.97714133
